name_short,iso,region_who,region_unicef,status_who,status_covax,status_csc,income_group,pop,pop_gen_fem,pop_gen_mal,pop_u18,pop_18p,pop_60p,pop_70per,pop_hcw,pop_old,pol_jj,pol_age_old,pol_age_old_source,del_date,del_dose_tot,del_dose_since_lm,del_cour_tot,del_cour_tot_per,del_cour_covax_prop,del_dose_jj_prop,pu_del_rem,pu_del_rem_per,pu_used_per,adm_tot_date,adm_tot_td,adm_tot_a1d,adm_tot_cps,adm_tot_cps_adj,adm_tot_pv,adm_tot_boost,adm_gen_date,adm_gen_fem_cps,adm_gen_mal_cps,adm_old_date,adm_old_target,adm_old_a1d,adm_old_cps,adm_old_cps_adj,adm_old_boost,adm_hcw_date,adm_hcw_target,adm_hcw_a1d,adm_hcw_cps,adm_hcw_cps_adj,adm_hcw_boost,dvr_4wk_td,dvr_4wk_td_per,dvr_4wk_td_max,dvr_4wk_td_max_per,dvr_4wk_cps,dvr_4wk_cps_per,dvr_4wk_td_lm,dvr_4wk_td_change_lm_trend,dvr_4wk_td_change_lm_per,cov_tot_a1d,cov_tot_cps,cov_tot_boost,cov_tot_cps_since_lm,cov_gen_fem_cps,cov_gen_mal_cps,cov_gen_diff,cov_hcw_a1d,cov_hcw_cps,cov_old_a1d,cov_old_cps,t10_status,t20_status,t40_status,t40_cour_req,t40_cour_need_del,t40_cour_need_adm,t70_status,t70_cour_req,t70_cour_need_del,t70_cour_need_adm,ct_target,ct_deadline,ct_status,fin_tot,fin_percapita,date_refresh,ri_dtp1,ri_dtp3,ri_mcv1,ri_mcv2,ri_zero_dose
El Salvador,SLV,AMR,LACRO,Member State,AMC,,LMIC,6486205,3468951,3049549,2057993,4460506,800876,4540343.5,67857,800876,0,60 and older,eJRF,2023-11-20,13519868,0,6759934,1.042201718878759,0.3039415769443903,0,708433.2000000011,0.109221524759085,0.9476005830826159,2023-12-29,11459448,4659970,4397817,4397817,262153,1908547,2023-12-01,2384236,2011465,2023-12-01,,635458,619658,619658,396989,2023-12-01,,126801,124480,67857,91878,242,0.00003730995242981065,69086.14285714286,0.01065124257669051,18.53571428571428,0.000002857713298564305,153.3214285714286,Upward,0.5783834148614022,0.7184432191088626,0.6780262110124488,0.2942470982647018,0.0001736212249139335,0.6873074886327307,0.6595942547570149,0.02771323387571578,1,1,0.7934536682332846,0.7737252708284429,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,2853930,0,0,Goal not yet met,4994378,0,596561,0.8,2022-06-30,Deadline past,43803007,6.753256642366376,31/12/2023,0.72,0.79,0.86,0.71,18454
Equatorial Guinea,GNQ,AFR,WCARO,Member State,No,,UMIC,1402985,643242,806649,612920,836976,54141,982089.5,12930,54141,,,,2023-11-20,988790,0,494395,0.3523879442759545,0.4660241305029379,0.4053439051770346,401173,0.2859424726565145,0.594278866088856,2023-12-31,488738,270109,214032,214032,56077,4597,2022-02-01,92698,111483,,,,,,,2024-02-01,,,9112,9112,,0,0,6273.333333333334,0.004471418677557732,0,0,0,Stable,,0.1925245102406654,0.1525547315188687,0.00327658528066943,0,0.1441106146675746,0.1382050929214566,0.005905521746118025,,0.7047177107501933,,,1) Goal met by deadline,3) Goal not yet met,3) Goal not yet met,617313,122918,403281,Goal not yet met,1080298,585903,866266,0.4,2021-12-31,Deadline past,1627868,1.160288955334519,31/12/2023,0.77,0.53,0.53,0.17,10809
Eritrea,ERI,AFR,ESARO,Member State,AMC,,LIC,3546421,1796180,1805282,1717303,1884164,230448,2482494.7,13902,407095,One dose,50 and older,Regional assumption,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stable,,,,,,,,,,,,,,,,1560425,,,,2730744,,,,,Not captured,979687,0.2762466723493911,31/12/2023,0.97,0.95,0.93,0.85,2970
Estonia,EST,EUR,Dev,Member State,No,,HIC,1328976,696303,628885,259098,1066087,360416,930283.2,40870,360416,,,,2023-11-20,4495270,0,2247635,1.691253265672217,0,0.02687269062814914,1840514,1.384911390423905,0.5905665288180688,2023-12-23,2205229,845148,842177,842177,2971,487389,2023-12-01,458363,404271,2024-02-01,704048,585776,581828,360416,515824,2024-02-01,16472,13706,12686,28147.10271818302,0,0,0,10750.28571428571,0.008089149626694322,0,0,0,Stable,,0.635939249467259,0.6337036936709165,0.3667402571604002,0,0.6582809495291562,0.6428377207279551,0.01544322880120108,1,0.6886983782281141,1,1,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,584749,0,0,Goal not yet met,1023312,0,181135,,,Not captured,,,31/12/2023,0.91,0.9,0.89,0.84,1131
Eswatini,SWZ,AFR,ESARO,Member State,AMC,,LMIC,1160164,595020,577349,514497,657865,66554,812114.7999999999,14530,120384,One dose,50 and older,Regional assumption,2023-11-20,957228,0,478614,0.4125399512482718,0.622672968195665,0.3159121964672993,0,0,1,2023-12-31,870205,526050,427335,427335,98715,179450,2022-08-01,220849,176826,2024-02-01,,105528,86842,86842,,2024-02-01,,49224,29852,14530,62130,0,0,5313.678571428572,0.004580109856389762,0,0,0,Stable,,0.4534272740750446,0.3683401657007113,0.154676407818205,0,0.3711623138718027,0.3062722893778287,0.06489002449397396,1,1,0.8765948963317385,0.7213749335459861,1) Goal met by deadline,1) Goal met by deadline,3) Goal not yet met,510472,31858,83137,Goal not yet met,893326,414712,465991,0.7,2022-06-30,Deadline past,14073333,12.13046862340152,31/12/2023,0.86,0.77,0.8,0.69,1143
Ethiopia,ETH,AFR,ESARO,Member State,AMC,Concerted support country,LIC,114963588,58898950,58977276,54614608,63261619,6301469,80474511.6,416370,4201564,One dose,65 and older,Region/IST,2023-11-20,78893250,0,39446625,0.3431227720554442,0.7156055809590808,0.5331527095157064,2147132,0.01867662655066054,0.9727843383305923,2023-12-31,68856793,52489512,43653006,43653006,8836506,5978070,2022-07-01,17663018,19101204,2024-02-01,,4209489,3653365,3653365,591990,2024-02-01,,320894,231166,231166,,0,0,813330.8214285715,0.0070746819543295,0,0,0,Stable,,0.4565751027186103,0.3797115831144727,0.05199968184709058,0,0.2998868061315185,0.3238739612185548,-0.0239871550870363,0.7706943343660686,0.555193697912914,1,0.8695250149706157,2) Goal met after deadline,2) Goal met after deadline,3) Goal not yet met,50583979,11137354,6930973,Goal not yet met,88521963,49075338,44868957,0.46,2022-12-31,Deadline past,326018494,2.83584132742969,31/12/2023,0.7,0.65,0.54,0.46,879223
Fiji,FJI,WPR,EAPRO,Member State,AMC,,UMIC,896445,445812,457087,307396,595510,89863,627511.5,3851,89863,One dose,60 and older,Region database,2023-11-20,1914020,0,957010,1.067561311625365,0.3471855048536588,0,167436,0.1867777722001908,0.9125212902686493,2023-06-29,1555182,712025,641194,641194,70831,172078,,,,2024-02-01,,80574,80574,80574,,2024-02-01,4171,4171,4171,3851,,0,0,9951.75,0.01110135033381858,0,0,0,Stable,,0.7942762801956618,0.7152630668920011,0.1919560039935523,0,,,,1,1,0.8966315391206614,0.8966315391206614,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,394436,0,0,Goal met by deadline,690263,0,49069,,,Not captured,24147340,26.93677805107954,31/12/2023,0.99,0.99,0.96,0.94,181
Finland,FIN,EUR,Dev,Member State,No,,HIC,5525292,2811226,2737135,1049415,4498945,1630214,3867704.4,425664,1630214,,,,2023-11-20,20633415,0,10316708,1.867178784397277,0,0.00331501111183001,4383451.5,0.793342958164021,0.7875556954580712,2023-12-23,14186622,4547671,4365135,4365135,182536,4016189,,,,2024-02-01,3181786,3090810,3078504,1630214,4507086,,,,,,,6505.035714285715,0.001177319807584054,49247.14285714286,0.008913038959233803,0,0,25593.92857142857,Downward,-0.7458367637414007,0.8230643737923715,0.7900279297456134,0.7268736204349019,0,,,,,,1,1,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,2431128,0,0,Goal met by deadline,4254475,0,0,,,Not captured,,,31/12/2023,0.98,0.89,0.93,0.93,914
France,FRA,EUR,Dev,Member State,No,,HIC,65039359,33763591,31662586,13810393,51615786,17797436,45527551.3,4152645,17797436,,,,2023-11-20,260480930,0,130240465,2.002486909503521,0,0.01432849613981338,76372759,1.174254484888143,0.706800958519305,2023-12-23,158060078,54677676,53189148,53189148,1488528,41042160,,,,2024-02-01,35690614,33773264,33067506,17797436,30636320,2021-11-01,2223286,2161084,1455188,3033016.609844264,,0,0,649923.1428571428,0.009992766731559313,0,0,0,Stable,,0.8406859606350057,0.8177993882135277,0.6310357394512452,0,,,,1,0.7303818674228748,1,1,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,28617318,0,0,Goal met by deadline,50080306,0,0,,,Not captured,,,31/12/2023,0.99,0.96,0.92,0.86,6990
French Guiana,GUF,AMR,,Territory or Area,,,Other,298682,154788,151662,114571,191877,27967,209077.4,,27967,,,,,,,,,,0,,,,2023-12-29,242386,100359,90493,90493,9866,46361,,,,,,,,,,,,,,,,0,0,1541.607142857143,0.005161366077825724,0,0,0,Stable,,0.3360061871823545,0.3029744008678126,0.1552185936882705,0,,,,,,,,1) Goal met by deadline,1) Goal met by deadline,3) Goal not yet met,131420,,40927,Goal not yet met,229985,,139492,,,Not captured,,,31/12/2023,,,,,
French Polynesia,PYF,WPR,,Territory or Area,,,HIC,280908,139512,143022,75281,207249,39749,196635.6,,39749,,60 and older,Region database,2023-11-20,553249,0,276624,0.9847494553376906,0,0,4232.100000000035,0.0150657866632493,0.9923504606424954,2023-07-17,493692,195688,195688,195688,0,102317,2022-12-01,83567,77662,2024-02-01,,35193,35193,35193,24310,2024-02-01,6074,5770,5770,,,177.4545454545462,0.0006317176636284698,2476.526098901099,0.008816146563647527,115.3896103896103,0.0004107736710581767,177.4545454545441,Stable,1.169192247572469e-14,0.6966266535662922,0.6966266535662922,0.364236689592322,0,0.5989950685245714,0.543007369495602,0.05598769902896938,,,0.8853807642959571,0.8853807642959571,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,123600,0,0,Goal not yet met,216299,0,20611,,,Not captured,,,31/12/2023,,,,,
Gabon,GAB,AFR,WCARO,Member State,No,Concerted support country,UMIC,2225734,1119387,1159442,974135,1304690,122655,1558013.8,19096,264199,One dose,50 and older,Regional assumption,2023-11-20,2157230,0,1078615,0.4846109193641289,0.31931226619322,0.4016261594730279,1368835,0.6150038594009887,0.3654663619549144,2023-12-31,572672,311244,257471,257471,53773,2592,2022-02-01,59170,154746,2024-02-01,,550628,550628,264199,41417,2024-02-01,,7635,4951,4951,216,0,0,6095.642857142857,0.002738711300246506,0,0,0,Stable,,0.1398388127242519,0.1156791422515,0.001164559646390809,0,0.05285928816396832,0.1334659258505385,-0.08060663768657014,0.3998219522413071,0.259268956849602,1,1,2) Goal met after deadline,3) Goal not yet met,3) Goal not yet met,979323,0,721852,Goal not yet met,1713815,635200,1456344,0.7,2021-12-31,Deadline past,8462881,3.802287694755977,31/12/2023,0.76,0.75,0.64,0,14226
Gambia,GMB,AFR,WCARO,Member State,AMC,Concerted support country,LIC,2416668,1253561,1233376,1252998,1233947,98429,1691667.6,5634,218168,One dose,50 and older,Regional assumption,2023-11-20,2349262,100800,1174631,0.4860539387288614,0.633990589385092,0.3309975643414826,669843.8000000003,0.2771765919025701,0.714870542323504,2023-12-31,1444492,674314,539186,539186,135128,53741,2022-02-01,179467,137420,2024-02-01,,40251,36910,36910,5008,2024-02-01,,10472,8148,5634,977,0,0,8980.442857142862,0.003716043269966276,0,0,0,Stable,,0.2790263288130599,0.2231113251799585,0.02223764290336943,0,0.143165749413072,0.1114177671691358,0.03174798224393625,1,1,0.184495434710865,0.1691815481647171,2) Goal met after deadline,2) Goal met after deadline,3) Goal not yet met,1063334,0,524148,Goal not yet met,1860834,686203,1321648,0.6,2023-12-31,Off track,13330582,5.516099853186287,31/12/2023,0.82,0.82,0.79,0.67,5857
Georgia,GEO,EUR,CEE-CIS,Member State,Self-financing,,UMIC,3989175,2083721,1896052,941776,3037989,871852,2792422.5,75607,871852,,,,2023-11-20,3597590,0,1798795,0.4509190496781916,0.04447977673942834,0,498561,0.124978472992536,0.8614180604237837,2023-12-23,2739270,1300867,1187212,1187212,113655,251191,,,,2024-02-01,,407249,377022,377022,123107,2024-02-01,64051,36527,36489,39928.16270206246,11686,0,0,23774.17857142857,0.005959673007934867,0,0,0,Stable,,0.3260992561118527,0.2976084027399149,0.06296815757644124,0,,,,0.5779433875923,0.5281014020138672,0.4671079495143671,0.4324380743520689,1) Goal met by deadline,1) Goal met by deadline,3) Goal not yet met,1755237,0,568025,Goal not yet met,3071665,1272870,1884453,,,Not captured,4196479,1.051966634705171,31/12/2023,0.97,0.85,0.9,0.81,504
Germany,DEU,EUR,Dev,Member State,No,,HIC,83166711,42400320,41500151,14169738,69730735,24440892,58216697.7,5584434,24440892,,,,2023-11-20,224178750,0,112089375,1.347767317623033,0,0.02404815353819218,8519418,0.1024378371774255,0.9619972098158278,2023-12-23,193241457,64868618,63566137,63566137,1302481,52143826,,,,2024-02-01,23738453,22210587,22007652,22007652,20852526,,,,,,,0,0,898795.5357142857,0.01080715498914326,0,0,0,Stable,,0.7799829669830276,0.7643218811430453,0.6269795375219299,0,,,,,,0.9087469884487032,0.9004438954192016,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,36593353,0,0,Goal met by deadline,64038367,0,472230,,,Not captured,,,31/12/2023,0.98,0.91,0.97,0.93,15395
Ghana,GHA,AFR,WCARO,Member State,AMC,Concerted support country,LMIC,31072940,15646278,16085850,13658897,18073232,1724221,21751058,404780,1724221,One dose,60 and older,Region/IST,2023-11-20,35237483,1821600,17618742,0.5670123908455396,0.6599662450361098,0.3309430472091324,6088906.699999999,0.1959552813476935,0.8272036995377905,2023-12-31,25624828,13864186,10780003,10780003,3084183,4806017,2022-02-01,2490790,2299191,2024-02-01,,1914099,1469207,1469207,12855,2024-02-01,,329608,281057,281057,22202,0,0,189509.8520408163,0.006098870980371226,0,0,0,Stable,,0.446181983423519,0.3469257495428498,0.154668885531913,0,0.1591937711959356,0.1429325152230066,0.01626125597292899,0.8142892435397006,0.6943450763377638,1,0.8520990058698972,2) Goal met after deadline,2) Goal met after deadline,3) Goal not yet met,13672094,0,2892091,Goal not yet met,23926164,6307422,13146161,0.72,2023-12-31,Off track,87977404,2.831318954691767,31/12/2023,0.99,0.98,0.94,0.83,26240
Greece,GRC,EUR,Dev,Member State,No,,HIC,10718565,5280268,5090479,1712299,8658445,3029473,7502995.499999999,247791,3029473,,,,2023-11-20,36181460,0,18090730,1.687794028398391,0,0.06638206418425348,10408063,0.9710313833988039,0.7123371196187218,2023-12-23,22155251,7917288,7745574,7745574,171714,6071723,,,,2021-12-01,3068849,2642223,2438912,2438912,,2021-12-01,274955,251481,234016,234016,,2236,0.0002086100144935446,106080.1071428571,0.009896857195236223,0,0,2884.285714285714,Stable,-0.2247647350173353,0.738651862446139,0.7226316209306003,0.5664678993876512,0,,,,1,0.9444087961225388,0.87217248676585,0.8050614743884498,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,4716169,0,0,Goal met by deadline,8253295,0,507721,,,Not captured,,,31/12/2023,0.99,0.99,0.97,0.83,809
Grenada,GRD,AMR,LACRO,Member State,AMC,,UMIC,112523,56113,56902,31475,81546,17160,78766.09999999999,2252,17160,One dose,60 and older,Ministry of Health (via PAHO),2023-11-20,236862,0,118431,1.052504821236547,0.5812245104744534,0.01013248220482813,122489.8,1.088575668974343,0.4828642838446014,2023-12-29,90686,44241,39034,39034,5207,7411,2021-06-01,14308,14308,,,,,,,,,,,,,0,0,498.3928571428572,0.004429253193950189,0,0,0,Stable,,0.3931729513077327,0.346897967526639,0.0658620904170703,0,0.2549854757364604,0.2514498611648097,0.003535614571650691,,,,,1) Goal met by deadline,1) Goal met by deadline,3) Goal not yet met,49510,0,10476,Goal not yet met,86643,0,47609,0.4,2022-06-30,Deadline past,1134601,10.08328075149081,31/12/2023,0.79,0.72,0.83,0.79,61
Guadeloupe,GLP,AMR,,Territory or Area,,,Other,400124,215647,184366,90529,309491,107188,280086.8,,107188,,,,,,,,,,0,,,,2023-12-29,400424,152189,146147,146147,6042,89052,,,,,,,,,,,,,,,,0,0,2281.392857142857,0.005701714611327632,0,0,0,Stable,,0.3803545900770761,0.3652542711759355,0.2225610060881127,0,,,,,,,,1) Goal met by deadline,1) Goal met by deadline,3) Goal not yet met,176055,,29908,Goal not yet met,308095,,161948,,,Not captured,,,31/12/2023,,,,,
Guam,GUM,WPR,,Territory or Area,,,HIC,168775,84389,85795,48333,121846,26720,118142.5,,46970,,50 and older,Region database,,,,,,,0,,,,2023-01-31,368088,135612,128788,128788,6824,83603,,,,2024-02-01,,92086,89283,46970,68683,2024-02-01,5106,4851,4851,,,0,0,1060.857142857143,0.006285629642169414,0.0434782608697008,2.576107887406358e-7,0,Stable,,0.8035076284994815,0.7630750999851874,0.4953517997333728,0,,,,,,1,1,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,74261,,0,Goal met by deadline,129957,,1169,,,Not captured,,,31/12/2023,,,,,
Guatemala,GTM,AMR,LACRO,Member State,Self-financing,,UMIC,17915568,9255589,8994279,7168857,11081003,1340379,12540897.6,125971,1340379,,,,2023-11-20,22509816,0,11254908,0.6282194346280285,0.2905976663691964,0,0,0,1,2023-12-29,20383475,8937923,7130895,7130895,1807028,3723845,2022-12-01,3894523,3135911,2023-05-01,1413917,863558,781511,781511,463074,2023-05-01,200000,288578,266450,125971,184933,8.75,4.884020422908165e-7,83370.17857142857,0.004653504626335518,3.178571428571428,1.774195174036027e-7,8.321428571428571,Stable,0.05150214592274682,0.4988914110900642,0.3980278492984425,0.207855257505651,0.00000696122421095513,0.4207752742694171,0.3486561846702776,0.07211908959913949,1,1,0.6442640477059101,0.5830522561156211,1) Goal met by deadline,1) Goal met by deadline,3) Goal not yet met,7882850,0,751955,Goal not yet met,13794987,2540079,6664092,,,Not captured,7698191,0.429692823582261,31/12/2023,0.89,0.79,0.81,0.72,30759
Guinea,GIN,AFR,WCARO,Member State,AMC,Concerted support country,LIC,13132795,6955707,6541530,6713147,6784097,636095,9192956.5,15946,1263523,0,50 and older,Regional assumption,2023-11-20,13201084,201600,6600542,0.5025999415965908,0.7486180680313829,0.2719776648644914,0,0,1,2023-12-31,12049511,8715641,5853990,5853990,2861651,425378,2022-02-01,202798,312103,2024-02-01,,111862,54871,54871,43821,2024-02-01,,84063,39163,15946,3744,0,0,67277.73214285714,0.005122879946184886,0,0,0,Stable,,0.6636546904143406,0.4457535505579734,0.03239051549955665,0,0.02915562717060969,0.04771100950389282,-0.01855538233328313,1,1,0.08853182727975668,0.04342698945725563,2) Goal met after deadline,2) Goal met after deadline,2) Goal met after deadline,5778430,0,0,Goal not yet met,10112252,3511710,4258262,0.632,2023-12-31,Off track,42058310,3.202540662517004,31/12/2023,0.62,0.47,0.47,0,164515
Guinea-Bissau,GNB,AFR,WCARO,Member State,AMC,Concerted support country,LIC,1968001,1028769,986721,972205,1043289,92290,1377600.7,6139,187418,One dose,50 and older,Region/IST,2023-11-20,1674070,0,837035,0.4253224464824967,0.356974320070248,0.6537361042250324,585911,0.2977188527851358,0.6500080641789172,2023-12-31,920752,747057,547637,547637,199420,76359,2022-06-01,,,2024-02-01,,543595,361319,187418,76359,2024-02-01,,8060,4080,4080,1168,0,0,8357.275510204081,0.004246580926637782,0,0,0,Stable,,0.3796019412591762,0.278270691935624,0.03880028516245673,0,,,,1,0.6646033555953739,1,1,2) Goal met after deadline,2) Goal met after deadline,3) Goal not yet met,865920,28885,318283,Goal not yet met,1515361,678326,967724,0.7,2023-12-31,Off track,12521334,6.362463230455676,31/12/2023,0.81,0.67,0.63,0,8479
Guyana,GUY,AMR,LACRO,Member State,AMC,,UMIC,786552,392526,397803,260196,530130,88929,550586.3999999999,7612,88929,0,60 and older,eJRF,2023-11-20,1355987,0,677994,0.8619824245567999,0.3588527332100284,0.07079713891062378,252527.3,0.3210560776655581,0.813768642324742,2023-12-29,967861,497550,384507,384507,113043,80224,,,,2023-07-01,512983,450900,351251,88929,23088,,,,,,,0,0,5653.357142857143,0.007187518616515047,0,0,0,Stable,,0.632571018826473,0.4888513410429317,0.1019945280159481,0,,,,,,1,1,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,346083,0,0,Goal not yet met,605645,0,221138,0.8,2022-12-31,Deadline past,2949360,3.749733011930553,31/12/2023,0.98,0.91,0.94,0.83,165
Haiti,HTI,AMR,LACRO,Member State,AMC,Concerted support country,LMIC,11402528,5845940,5695743,4403258,7138427,910210,7981769.6,58078,609491,One dose,65 and older,CDC Country Office,2023-11-20,1890300,120000,945150,0.08288951362364556,1,0.4291382320266625,1021166,0.08955610545310654,0.4597862773104798,2023-12-29,680104,521396,366339,366339,155057,0,2021-11-01,33769,32561,,,,,,,,,,,,,253.3571428571429,0.00002221938353119088,4066.785714285714,0.0003566564988295328,253.2142857142857,0.000022206854981131,18.07453416149032,Upward,13.01735395189031,0.04572635120913538,0.03212787550269555,0,0.0006217919394716706,0.005776487613625867,0.00571672563175691,0.00005976198186895612,,,,,3) Goal not yet met,3) Goal not yet met,3) Goal not yet met,5017112,4071962,4650773,Goal not yet met,8779947,7834797,8413608,0.7,2022-06-30,Deadline past,81719411,7.166780121039825,31/12/2023,0.75,0.51,0.65,0.41,65254
Honduras,HND,AMR,LACRO,Member State,AMC,,LMIC,9904607,5034311,5028683,3651284,6411707,760007,6933224.899999999,80819,760007,0,60 and older,eJRF - multiple,2023-11-20,20883726,874080,10441863,1.054243040637554,0.5029346774612921,0,1720492.400000002,0.1737062762813307,0.91761564004431,2023-12-29,17074861,6596213,5853689,5853689,742524,4803544,,,,2023-12-01,,184428,180266,180266,122848,2023-12-01,,23971,23905,23905,22914,0,0,71530.06632653062,0.007221898488908305,0,0,0,Stable,,0.6659742279527093,0.5910066901190527,0.48498077712725,0,,,,0.2966010467835534,0.2957844071319863,0.2426661859693398,0.2371899206191522,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,4358027,0,0,Goal not yet met,7626547,0,1772858,0.8,2022-10-31,Deadline past,44718163,4.514885143852754,31/12/2023,0.82,0.77,0.81,0.75,23405
Hong Kong,HKG,WPR,Dev,Territory or Area,,,HIC,,4094026,3458774,1142282,6410528,2032247,,,2032247,,60 and older,Region database,2023-11-20,23797071,0,11898536,,0,0,,,,,,,,,,,2022-12-01,3700200,3087400,2024-02-01,,1784400,1769000,1769000,1690500,2024-02-01,94900,92700,92600,,79100,,,,,,,,Stable,,,,,,0.903804714479097,0.8926284284547068,0.01117628602439025,,,0.8780428756937518,0.8704650566589592,,,,,,,,,,,,,Not captured,,,31/12/2023,,,,,
Hungary,HUN,EUR,Dev,Member State,No,,HIC,9769526,5046597,4587565,1683569,7950595,2590872,6838668.199999999,312315,2590872,,,,2023-11-20,33126296,0,16563148,1.695389110996787,0,0.13008396712992,13235382.4,1.354761981287526,0.6004569179723565,2023-12-23,16578284,6358657,6152022,6152022,206635,3876420,,,,2024-02-01,5187226,4309468,4240904,2590872,3501820,2024-02-01,172621,236290,211269,299236.4777740496,78901,196.1428571428571,0.00002007700856140381,116194.8214285714,0.01189359866881683,0,0,41.60714285714285,Upward,3.714163090128755,0.6508664801137742,0.6297155051330023,0.396786906550021,0,,,,1,0.9581239382484018,1,1,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,4298591,0,0,Goal not yet met,7522535,0,1370513,,,Not captured,,,31/12/2023,0.99,0.99,0.99,0.99,921
Iceland,ISL,EUR,Dev,Member State,No,,HIC,364134,170856,172504,79061,264292,75860,254893.8,22968,75860,,,,2023-11-20,1648190,0,824095,2.26316410991558,0,0.03488675456106396,579947,1.592674674707663,0.6481309800447763,2023-12-23,903424,307412,297934,297934,9478,287652,,,,2024-02-01,145812,152220,151300,75860,197404,2024-02-01,22845,27594,27478,22968,24885,171.6428571428571,0.0004713727834886529,6598.5,0.01812107630707377,0,0,371.3571428571428,Downward,-0.5377957299480669,0.8442276744275459,0.8181987949491122,0.7899619370890936,0,,,,1,1,1,1,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,160219,0,0,Goal met by deadline,280383,0,0,,,Not captured,,,31/12/2023,0.97,0.92,0.92,0.1,220
India,IND,SEAR,ROSA,Member State,AMC,,LMIC,1380004385,669435596,723973437,435234049,958174989,144322343,966003069.5,5824562,144322343,0,60 and older,Regional assumption,2023-11-20,2427414224,0,1213707112,0.8794951126187907,0.09887064087665987,0,0,0,1,2023-11-23,2208365081,1027419851,952128795,952128795,75291056,228816435,2021-09-01,,,2023-11-01,138060681,127702310,123324401,123324401,49209617,2023-11-01,10493589,10416062,10125154,5824562,7158131,44199.861111113,0.00003202878309050663,7964615.5,0.005771442168279777,23.69444444349834,1.716983272013178e-8,12857.08421126434,Upward,2.437782656225325,0.744504772714907,0.6899462098448332,0.1658084840070997,0,,,,1,1,0.8848408870413086,0.8545066441999213,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,607201929,0,0,Goal not yet met,1062603376,0,110474581,0.7,,No timeline,134755785,0.0976488092825879,31/12/2023,0.88,0.85,0.89,0.82,1380301
Indonesia,IDN,SEAR,EAPRO,Member State,AMC,,LMIC,273523615,137230499,139131289,84703508,191658275,28803892,191466530.5,1807960,28803892,0,60 and older,Regional assumption,2023-11-20,492355429,0,246177714,0.9000236195328144,0.2242269379428879,0.001673587720305202,0,0,1,2023-11-23,448199860,204419394,174965137,174965137,29454257,69356250,2023-09-01,89946847,85009166,2023-09-01,21553118,18295377,15159726,15159726,7277972,2023-09-01,1468764,2046635,2012356,1807960,1814378,205.2222222217492,7.502906914335319e-7,1688392.75,0.006172749471741224,176.1111111108746,6.438607178794218e-7,3238.949419568692,Downward,-0.9366392630332964,0.7473555583125794,0.6396710463189805,0.2535658575585878,0,0.6554435614199727,0.6109996292782136,0.04444393214175912,1,1,0.6351703096234356,0.526308250287843,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,120350391,0,0,Goal not yet met,210613184,0,35648047,0.86,2022-12-31,Deadline past,187202650,0.6844112893140872,31/12/2023,0.74,0.67,0.72,0.5,447837
Iran,IRN,EMR,MENA,Member State,Self-financing,,LMIC,83992949,42117318,42911442,24557249,60471510,9005131,58795064.3,818176,9005131,,60 and older,Region,2023-11-20,170990384,0,85495192,1.017885346542601,0.09361234021206713,0,0,0,1,2023-11-26,155461757,65199831,58585264,58585264,6614567,31352288,2022-12-01,29285935,29277341,2023-04-01,7875000,7743901,7726339,7726339,6458910,2023-08-01,1021186,996783,995712,818176,918334,154.91262135974,0.00000184435268917323,1092680.707142857,0.01300919565454068,25.6213592232338,3.050417865817975e-7,154.9126213586756,Stable,6.870741629210652e-12,0.7762536233845058,0.6975021677117207,0.3732728565108483,0,0.6953418781319362,0.682273529749944,0.01306834838199211,1,1,0.8599431812818714,0.8579929597914788,1) Goal met by deadline,1) Goal met by deadline,1) Goal met by deadline,36956898,0,0,Goal not yet met,64674571,0,6089307,,,Not captured,6900479,0.08215545569188194,31/12/2023,0.98,0.98,0.99,0.98,12950
