"ivac_study_id","first_author","study_design","publication_date","country","iso3c","continent","GNI_per_c_WB","year_GNI","q_GNI_per_c_WB","vaccine","vaccine_platform","dose_number","population_detail","history_of_COVID","outcome_detail","outcome_category","variant","timing_of_dose_days","max duration follow-up","VE","LCL","UCL"
251,"Simwanza","Case-control","12Sept2022","Zambia","ZMB","Africa",1380,2019,1,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2",">= 18 years in a correctional facility","included","infection","infection","omicron","14+","~13 weeks",89.4,"59.5",97.8
251,"Simwanza","Case-control","12Sept2022","Zambia","ZMB","Africa",1380,2019,1,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2",">= 18 years in a correctional facility","included","symptomatic disease","symptomatic","omicron","14+","~13 weeks",85.1,"19.5",98
252,"Zahradka","Retrospective cohort","03May2022","Czech Republic","CZE","Europe",22100,2019,3,"Multiple or heterologous RNA","mRNA","2","kidney transplant recipients","excluded","infection","infection","alpha","14+","~12.5 weeks",45.6,"12.4",67.6
253,"Martellucci","Retrospective cohort","22Apr2022","Italy","ITA","Europe",34890,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2",">= 18 years","excluded","infection","infection","other combinations","14+","~53 weeks",24,"23",25
253,"Martellucci","Retrospective cohort","22Apr2022","Italy","ITA","Europe",34890,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2",">= 18 years","excluded","hospitalization","severe","other combinations","14+","~53 weeks",86,"84",88
253,"Martellucci","Retrospective cohort","22Apr2022","Italy","ITA","Europe",34890,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2",">= 18 years","excluded","death","death","other combinations","14+","~53 weeks",92,"90",94
253,"Martellucci","Retrospective cohort","22Apr2022","Italy","ITA","Europe",34890,2019,4,"Moderna mRNA-1273","mRNA","2",">= 18 years","excluded","infection","infection","other combinations","14+","~53 weeks",32,"31",34
253,"Martellucci","Retrospective cohort","22Apr2022","Italy","ITA","Europe",34890,2019,4,"Moderna mRNA-1273","mRNA","2",">= 18 years","excluded","hospitalization","severe","other combinations","14+","~53 weeks",90,"86",93
253,"Martellucci","Retrospective cohort","22Apr2022","Italy","ITA","Europe",34890,2019,4,"Moderna mRNA-1273","mRNA","2",">= 18 years","excluded","death","death","other combinations","14+","~53 weeks",96,"92",98
253,"Martellucci","Retrospective cohort","22Apr2022","Italy","ITA","Europe",34890,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2",">= 18 years","excluded","infection","infection","other combinations","14+","~53 weeks",4,"1",6
253,"Martellucci","Retrospective cohort","22Apr2022","Italy","ITA","Europe",34890,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2",">= 18 years","excluded","hospitalization","severe","other combinations","14+","~53 weeks",93,"92",95
253,"Martellucci","Retrospective cohort","22Apr2022","Italy","ITA","Europe",34890,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2",">= 18 years","excluded","death","death","other combinations","14+","~53 weeks",98,"96",99
253,"Martellucci","Retrospective cohort","22Apr2022","Italy","ITA","Europe",34890,2019,4,"Janssen Ad26.COV2.S","Vectored","1",">= 18 years","excluded","infection","infection","other combinations","14+","~53 weeks",12,"7",17
253,"Martellucci","Retrospective cohort","22Apr2022","Italy","ITA","Europe",34890,2019,4,"Janssen Ad26.COV2.S","Vectored","1",">= 18 years","excluded","hospitalization","severe","other combinations","14+","~53 weeks",87,"73",94
254,"Braeye","Retrospective cohort","11May2022","Belgium","BEL","Europe",48050,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","contacts of index cases among women aged 45-64","excluded","infection","infection","alpha","7-57","~28.5 weeks",72,"70",74
254,"Braeye","Retrospective cohort","11May2022","Belgium","BEL","Europe",48050,2019,4,"Moderna mRNA-1273","mRNA","2","contacts of index cases among women aged 45-64","excluded","infection","infection","alpha","14-64","~28.5 weeks",82,"79",84
254,"Braeye","Retrospective cohort","11May2022","Belgium","BEL","Europe",48050,2019,4,"Janssen Ad26.COV2.S","Vectored","1","contacts of index cases among women aged 45-64","excluded","infection","infection","alpha","21-71","~28.5 weeks",38,"34",44
254,"Braeye","Retrospective cohort","11May2022","Belgium","BEL","Europe",48050,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","contacts of index cases among women aged 45-64","excluded","infection","infection","alpha","14-64","~28.5 weeks",56,"51",59
254,"Braeye","Retrospective cohort","11May2022","Belgium","BEL","Europe",48050,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","contacts of index cases among women aged 45-64","excluded","infection","infection","delta","7-57","~28.5 weeks",64,"63",66
254,"Braeye","Retrospective cohort","11May2022","Belgium","BEL","Europe",48050,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","contacts of index cases among women aged 45-64","excluded","infection","infection","delta","157-207","~28.5 weeks",44,"43",44
254,"Braeye","Retrospective cohort","11May2022","Belgium","BEL","Europe",48050,2019,4,"Moderna mRNA-1273","mRNA","2","contacts of index cases among women aged 45-64","excluded","infection","infection","delta","14-64","~28.5 weeks",75,"71",77
254,"Braeye","Retrospective cohort","11May2022","Belgium","BEL","Europe",48050,2019,4,"Moderna mRNA-1273","mRNA","2","contacts of index cases among women aged 45-64","excluded","infection","infection","delta","164-214","~28.5 weeks",56,"55",58
254,"Braeye","Retrospective cohort","11May2022","Belgium","BEL","Europe",48050,2019,4,"Janssen Ad26.COV2.S","Vectored","1","contacts of index cases among women aged 45-64","excluded","infection","infection","delta","21-71","~28.5 weeks",33,"28",38
254,"Braeye","Retrospective cohort","11May2022","Belgium","BEL","Europe",48050,2019,4,"Janssen Ad26.COV2.S","Vectored","1","contacts of index cases among women aged 45-64","excluded","infection","infection","delta","171-221","~28.5 weeks",22,"19",25
254,"Braeye","Retrospective cohort","11May2022","Belgium","BEL","Europe",48050,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","contacts of index cases among women aged 45-64","excluded","infection","infection","delta","14-64","~28.5 weeks",49,"45",52
254,"Braeye","Retrospective cohort","11May2022","Belgium","BEL","Europe",48050,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","contacts of index cases among women aged 45-64","excluded","infection","infection","delta","164-214","~28.5 weeks",35,"33",37
254,"Braeye","Retrospective cohort","11May2022","Belgium","BEL","Europe",48050,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","contacts of index cases among women aged 45-64","previously infected only","infection","infection","delta","7-57","~28.5 weeks",87,"84",88
254,"Braeye","Retrospective cohort","11May2022","Belgium","BEL","Europe",48050,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","contacts of index cases among women aged 45-64","previously infected only","infection","infection","delta","157-207","~28.5 weeks",82,"81",83
254,"Braeye","Retrospective cohort","11May2022","Belgium","BEL","Europe",48050,2019,4,"Moderna mRNA-1273","mRNA","2","contacts of index cases among women aged 45-64","previously infected only","infection","infection","delta","14-64","~28.5 weeks",87,"83",92
254,"Braeye","Retrospective cohort","11May2022","Belgium","BEL","Europe",48050,2019,4,"Moderna mRNA-1273","mRNA","2","contacts of index cases among women aged 45-64","previously infected only","infection","infection","delta","164-214","~28.5 weeks",85,"80",89
254,"Braeye","Retrospective cohort","11May2022","Belgium","BEL","Europe",48050,2019,4,"Janssen Ad26.COV2.S","Vectored","1","contacts of index cases among women aged 45-64","previously infected only","infection","infection","delta","21-71","~28.5 weeks",88,"85",91
254,"Braeye","Retrospective cohort","11May2022","Belgium","BEL","Europe",48050,2019,4,"Janssen Ad26.COV2.S","Vectored","1","contacts of index cases among women aged 45-64","previously infected only","infection","infection","delta","171-221","~28.5 weeks",87,"84",89
254,"Braeye","Retrospective cohort","11May2022","Belgium","BEL","Europe",48050,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","contacts of index cases among women aged 45-64","previously infected only","infection","infection","delta","14-64","~28.5 weeks",88,"84",94
254,"Braeye","Retrospective cohort","11May2022","Belgium","BEL","Europe",48050,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","contacts of index cases among women aged 45-64","previously infected only","infection","infection","delta","164-214","~28.5 weeks",83,"81",85
255,"Lan","Retrospective cohort","12May2022","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","HCW","excluded","infection","infection","other combinations","14+","~36 weeks",82.3,"75.1",87.4
255,"Lan","Retrospective cohort","12May2022","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","HCW","excluded","infection","infection","other combinations","14+","~36 weeks",76.5,"40.9",90.6
256,"Tenforde","Case-control","17May2022","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","hospitalized adults","included","hospitalization","severe","other combinations","14-179","~23.5 weeks",88,"86",90
256,"Tenforde","Case-control","17May2022","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","hospitalized adults","included","hospitalization","severe","other combinations","180+","~47 weeks",79,"74",83
256,"Tenforde","Case-control","17May2022","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA","2","hospitalized adults","included","hospitalization","severe","other combinations","14-179","~23.5 weeks",93,"91",94
256,"Tenforde","Case-control","17May2022","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA","2","hospitalized adults","included","hospitalization","severe","other combinations","180+","~47 weeks",87,"83",90
256,"Tenforde","Case-control","17May2022","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","immunocompetent adults","included","hospitalization","severe","other combinations","14-179","~23.5 weeks",90,"88",91
256,"Tenforde","Case-control","17May2022","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","immunocompetent adults","included","hospitalization","severe","other combinations","180+","~47 weeks",82,"79",85
256,"Tenforde","Case-control","17May2022","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","hospitalized immunocompromised adults","included","hospitalization","severe","other combinations","14+","~47 weeks",63,"55",69
256,"Tenforde","Case-control","17May2022","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","hospitalized immunocompromised adults","included","hospitalization","severe","other combinations","14-179","~23.5 weeks",65,"57",72
256,"Tenforde","Case-control","17May2022","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","hospitalized immunocompromised adults","included","hospitalization","severe","other combinations","180+","~47 weeks",53,"38",65
256,"Tenforde","Case-control","17May2022","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","hospitalized adults","included","hospitalization","severe","delta","14-179","~23.5 weeks",90,"88",91
256,"Tenforde","Case-control","17May2022","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","hospitalized adults","included","hospitalization","severe","delta","180+","~47 weeks",83,"80",86
257,"Fano","Retrospective cohort","18May2022","Italy","ITA","Europe",34890,2019,4,"Multiple or heterologous RNA","mRNA","2",">= 12 years","excluded","infection","infection","other combinations","40-44","~48 weeks",70.9,"69.3",72.4
257,"Fano","Retrospective cohort","18May2022","Italy","ITA","Europe",34890,2019,4,"Multiple or heterologous RNA","mRNA","2",">= 12 years","excluded","infection","infection","other combinations","200+","~48 weeks",22.7,"18.5",26.8
257,"Fano","Retrospective cohort","18May2022","Italy","ITA","Europe",34890,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2",">= 12 years","excluded","infection","infection","other combinations","40-44","~48 weeks",76.3,"71.9",80
257,"Fano","Retrospective cohort","18May2022","Italy","ITA","Europe",34890,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2",">= 12 years","excluded","infection","infection","other combinations","125+","~48 weeks",3.8,"0",9.2
257,"Fano","Retrospective cohort","18May2022","Italy","ITA","Europe",34890,2019,4,"Janssen Ad26.COV2.S","Vectored","1",">= 12 years","excluded","infection","infection","other combinations","40-44","~48 weeks",39.4,"28.3",48.8
257,"Fano","Retrospective cohort","18May2022","Italy","ITA","Europe",34890,2019,4,"Janssen Ad26.COV2.S","Vectored","1",">= 12 years","excluded","infection","infection","other combinations","150+","~48 weeks",2.5,"0",9.1
257,"Fano","Retrospective cohort","18May2022","Italy","ITA","Europe",34890,2019,4,"Heterologous platforms","Multiple","2",">= 12 years","excluded","infection","infection","other combinations","40-44","~48 weeks",81.6,"75.3",86.3
257,"Fano","Retrospective cohort","18May2022","Italy","ITA","Europe",34890,2019,4,"Heterologous platforms","Multiple","2",">= 12 years","excluded","infection","infection","other combinations","125+","~48 weeks",3.1,"0",12
258,"Paranthaman","Retrospective cohort","20May2022","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","LTCF residents","excluded","infection","infection","other combinations","7-34","~3 weeks",62,"46",73
258,"Paranthaman","Retrospective cohort","20May2022","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","LTCF residents","excluded","infection","infection","other combinations","147+","~37 weeks",47,"32",58
258,"Paranthaman","Retrospective cohort","20May2022","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","LTCF residents","excluded","death","death","other combinations","7-34","~3 weeks",86,"67",94
258,"Paranthaman","Retrospective cohort","20May2022","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","LTCF residents","excluded","death","death","other combinations","147+","~37 weeks",69,"51",80
258,"Paranthaman","Retrospective cohort","20May2022","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","LTCF residents","excluded","infection","infection","other combinations","7-34","~3 weeks",61,"40",74
258,"Paranthaman","Retrospective cohort","20May2022","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","LTCF residents","excluded","infection","infection","other combinations","147+","~24.5 weeks",29,"10",43
258,"Paranthaman","Retrospective cohort","20May2022","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","LTCF residents","excluded","death","death","other combinations","7-34","~3 weeks",83,"58",94
258,"Paranthaman","Retrospective cohort","20May2022","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","LTCF residents","excluded","death","death","other combinations","147+","~24.5 weeks",56,"33",70
258,"Paranthaman","Retrospective cohort","20May2022","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","LTCF residents","previously infected only","infection","infection","other combinations","7-34","~3 weeks",79,"15",95
258,"Paranthaman","Retrospective cohort","20May2022","UK","GBR","Europe",43240,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","LTCF residents","previously infected only","infection","infection","other combinations","147+","~37 weeks",80,"43",93
258,"Paranthaman","Retrospective cohort","20May2022","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","LTCF residents","previously infected only","infection","infection","other combinations","7-34","~3 weeks",37,"-50",73
258,"Paranthaman","Retrospective cohort","20May2022","UK","GBR","Europe",43240,2019,4,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","LTCF residents","previously infected only","infection","infection","other combinations","147+","~24.5 weeks",65,"14",86
259,"Tsundue","Prospective cohort","24May2022","India","IND","Asia",2070,2019,1,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","residents of congregate living facilities","included","infection","infection","delta","14+","13 weeks",98,"85",99.8
259,"Tsundue","Prospective cohort","24May2022","India","IND","Asia",2070,2019,1,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","residents of congregate living facilities","included","shortness of breath/use of supplemental oxygen, hospitalization or death","severe","delta","14+","13 weeks",99,"90",99.8
260,"Amir","Retrospective cohort","09Sept2022","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","5-10 years","included","infection","infection","omicron","14-35","~2 weeks",58.3,"54.6",61.5
261,"Chin","Retrospective cohort","26Oct2022","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","prison residents >= 18 years","excluded","infection","infection","omicron","14+","~65 weeks",18.6,"7.7",28.1
261,"Chin","Retrospective cohort","26Oct2022","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","prison staff >= 18 years","excluded","infection","infection","omicron","14+","~65 weeks",40.1,"34",45.6
261,"Chin","Retrospective cohort","26Oct2022","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","prison residents >= 18 years","previously infected before July 1, 2021","infection","infection","omicron","14+","~65 weeks",51.2,"41.5",59.2
261,"Chin","Retrospective cohort","26Oct2022","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","prison staff >= 18 years","previously infected before July 1, 2021","infection","infection","omicron","14+","~65 weeks",55.8,"49.6",61.2
261,"Chin","Retrospective cohort","26Oct2022","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","prison residents >= 18 years","previously infected between July 1 and November 30, 2021","infection","infection","omicron","14+","~65 weeks",68.7,"38.5",84.1
261,"Chin","Retrospective cohort","26Oct2022","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","prison staff >= 18 years","previously infected between July 1 and November 30, 2021","infection","infection","omicron","14+","~65 weeks",83.2,"77.7",87.4
261,"Chin","Retrospective test-negative case control","26Oct2022","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","prison residents and staff >= 18 years","excluded","infection","infection","omicron","14+","~65 weeks",14.9,"12.3",19.7
261,"Chin","Retrospective test-negative case control","26Oct2022","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","prison residents and staff >= 18 years","previously infected before July 1, 2021","infection","infection","omicron","14+","~65 weeks",47.8,"46.6",52.8
261,"Chin","Retrospective test-negative case control","26Oct2022","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","prison residents and staff >= 18 years","previously infected between July 1 and November 30, 2021","infection","infection","omicron","14+","~65 weeks",73.1,"69.8",80.1
262,"Carlsen","Retrospective cohort","01Jun2022","Norway","NOR","Europe",82430,2019,4,"Multiple or heterologous RNA","mRNA","2","newborns","excluded","infection during an infant's first 4 months of life (born to unvaccinated mothers and mothers vaccinated in 2nd or 3rd trimester)","infection during an infant's first 4 months of life","omicron","14+","~45 weeks",30,"17",41
262,"Carlsen","Retrospective cohort","01Jun2022","Norway","NOR","Europe",82430,2019,4,"Multiple or heterologous RNA","mRNA","2","newborns","excluded","infection during an infant's first 4 months of life (born to unvaccinated mothers and mothers vaccinated in 2nd or 3rd trimester)","infection during an infant's first 4 months of life","delta","14+","~45 weeks",71,"56",81
263,"Grewal","Test-negative case-control","06Jul2022","Canada","CAN","North America",46580,2019,4,"Multiple or heterologous RNA","mRNA","2","LTCF residents","included","infection","infection","omicron","0+","~66 weeks",6,"-5",15
263,"Grewal","Test-negative case-control","06Jul2022","Canada","CAN","North America",46580,2019,4,"Multiple or heterologous RNA","mRNA","2","LTCF residents","included","symptomatic disease","symptomatic","omicron","0+","~66 weeks",23,"1",40
263,"Grewal","Test-negative case-control","06Jul2022","Canada","CAN","North America",46580,2019,4,"Multiple or heterologous RNA","mRNA","2","LTCF residents","included","hospitalization or death","severe","omicron","0+","~66 weeks",52,"33",65
264,"Spicer","Test-negative case-control","26May2022","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","12-17 years","excluded","infection","infection","delta","14+","~36.5 weeks",81,"79.7",82.3
264,"Spicer","Test-negative case-control","26May2022","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","12-17 years","previously infected only","infection","infection","delta","14+","~36.5 weeks",78.3,"66.7",86.5
265,"Richterman","Test-negative case-control","06Jun2022","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","HCW","excluded","symptomatic disease","symptomatic","omicron","14+","~63 weeks",41,"-17",87
265,"Richterman","Test-negative case-control","06Jun2022","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA","2","HCW","excluded","symptomatic disease","symptomatic","omicron","14+","~63 weeks",5,"-69",47
265,"Richterman","Test-negative case-control","06Jun2022","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","HCW","excluded","symptomatic disease","symptomatic","delta","14+","~63 weeks",75,"52",87
265,"Richterman","Test-negative case-control","06Jun2022","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA","2","HCW","excluded","symptomatic disease","symptomatic","delta","14+","~63 weeks",73,"56",84
266,"Lin","RCT crossover","08Jun2022","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA","2",">= 18 years","excluded","symptomatic disease","symptomatic","other combinations","12 days","~0 weeks",92.6,"80.5",97.2
266,"Lin","RCT crossover","08Jun2022","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA","2",">= 18 years","excluded","symptomatic disease","symptomatic","other combinations","172 days","~22.5 weeks",89.6,"41.7",98.2
267,"Lewis","Test-negative case-control","08Jun2022","USA","USA","North America",66220,2019,4,"Janssen Ad26.COV2.S","Vectored","1","hospitalized adults","included","hospitalization","severe","other combinations","14+","~39.5 weeks",70,"63",75
267,"Lewis","Test-negative case-control","08Jun2022","USA","USA","North America",66220,2019,4,"Janssen Ad26.COV2.S","Vectored","1","hospitalized adults","included","hospitalization","severe","other combinations","14-90","~39.5 weeks",73,"60",82
267,"Lewis","Test-negative case-control","08Jun2022","USA","USA","North America",66220,2019,4,"Janssen Ad26.COV2.S","Vectored","1","hospitalized adults","included","hospitalization","severe","other combinations","180+","~39.5 weeks",70,"54",81
267,"Lewis","Test-negative case-control","08Jun2022","USA","USA","North America",66220,2019,4,"Janssen Ad26.COV2.S","Vectored","1","hospitalized immunocompromised adults","included","hospitalization","severe","other combinations","14+","~39.5 weeks",55,"31",72
267,"Lewis","Test-negative case-control","08Jun2022","USA","USA","North America",66220,2019,4,"Janssen Ad26.COV2.S","Vectored","1","hospitalized adults","included","hospitalization","severe","alpha","14+","~39.5 weeks",68,"43",83
267,"Lewis","Test-negative case-control","08Jun2022","USA","USA","North America",66220,2019,4,"Janssen Ad26.COV2.S","Vectored","1","hospitalized adults","included","hospitalization","severe","delta","14+","~39.5 weeks",72,"64",78
270,"Al Kaabi","Retrospective cohort","09Jun2022","United Arab Emirates","ARE","Asia",45070,2019,4,"Beijing/Sinopharm BBIBP-CorV","Inactivated","2",">= 18 years","excluded","hospitalization","severe","original","14+","~39 weeks",97.3,"95.7",98.3
270,"Al Kaabi","Retrospective cohort","09Jun2022","United Arab Emirates","ARE","Asia",45070,2019,4,"Beijing/Sinopharm BBIBP-CorV","Inactivated","2",">= 18 years","excluded","critical care admission","severe","original","14+","~39 weeks",98.8,"95.3",99.7
270,"Al Kaabi","Retrospective cohort","09Jun2022","United Arab Emirates","ARE","Asia",45070,2019,4,"Beijing/Sinopharm BBIBP-CorV","Inactivated","2",">= 18 years","excluded","death","death","original","14+","~39 weeks",100,"100",100
270,"Al Kaabi","Retrospective cohort","09Jun2022","United Arab Emirates","ARE","Asia",45070,2019,4,"Beijing/Sinopharm BBIBP-CorV","Inactivated","2",">= 18 years","excluded","hospitalization","severe","alpha","14+","~39 weeks",73.3,"70.6",75.7
270,"Al Kaabi","Retrospective cohort","09Jun2022","United Arab Emirates","ARE","Asia",45070,2019,4,"Beijing/Sinopharm BBIBP-CorV","Inactivated","2",">= 18 years","excluded","critical care admission","severe","alpha","14+","~39 weeks",79.1,"73.1",83.7
270,"Al Kaabi","Retrospective cohort","09Jun2022","United Arab Emirates","ARE","Asia",45070,2019,4,"Beijing/Sinopharm BBIBP-CorV","Inactivated","2",">= 18 years","excluded","death","death","alpha","14+","~39 weeks",81.9,"66.9",90.1
270,"Al Kaabi","Retrospective cohort","09Jun2022","United Arab Emirates","ARE","Asia",45070,2019,4,"Beijing/Sinopharm BBIBP-CorV","Inactivated","2",">= 18 years","excluded","hospitalization","severe","delta","14+","~39 weeks",34.6,"14.2",50.2
270,"Al Kaabi","Retrospective cohort","09Jun2022","United Arab Emirates","ARE","Asia",45070,2019,4,"Beijing/Sinopharm BBIBP-CorV","Inactivated","2",">= 18 years","excluded","critical care admission","severe","delta","14+","~39 weeks",49.6,"0",76.4
270,"Al Kaabi","Retrospective cohort","09Jun2022","United Arab Emirates","ARE","Asia",45070,2019,4,"Beijing/Sinopharm BBIBP-CorV","Inactivated","2",">= 18 years","excluded","death","death","delta","14+","~39 weeks",62.5,"31.4",79.5
271,"Gray","Test-negative case-control","09Jun2022","South Africa","ZAF","Africa",6570,2019,3,"BioNTech/Pfizer BNT162b2","mRNA","2","HCW","excluded","hospitalization","severe","omicron","14-27","~30 weeks",88,"62",96
271,"Gray","Test-negative case-control","09Jun2022","South Africa","ZAF","Africa",6570,2019,3,"BioNTech/Pfizer BNT162b2","mRNA","2","HCW","excluded","hospitalization","severe","omicron","148-207","~30 weeks",67,"63",71
271,"Gray","Test-negative case-control","09Jun2022","South Africa","ZAF","Africa",6570,2019,3,"BioNTech/Pfizer BNT162b2","mRNA","2","HCW","excluded","ICU admission","severe","omicron","14-27","~30 weeks",69,"56",79
271,"Gray","Test-negative case-control","09Jun2022","South Africa","ZAF","Africa",6570,2019,3,"BioNTech/Pfizer BNT162b2","mRNA","2","HCW","excluded","ICU admission","severe","omicron","148-207","~30 weeks",71,"65",76
272,"Adams","Prospective test-negative case control","11Oct2022","USA","USA","North America",66220,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2",">= 18 years","included","hospitalization","severe","omicron","14+","~72 weeks",36,"21",48
272,"Adams","Prospective test-negative case control","11Oct2022","USA","USA","North America",66220,2019,4,"Moderna mRNA-1273","mRNA","2",">= 18 years","included","hospitalization","severe","omicron","14+","~72 weeks",41,"25",54
272,"Adams","Prospective test-negative case control","11Oct2022","USA","USA","North America",66220,2019,4,"Janssen Ad26.COV2.S","Vectored","2",">= 18 years","included","hospitalization","severe","omicron","14+","~72 weeks",32,"9",62
273,"Magro","Matched case-control","22Jun2022","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","SNF personnel 18+ years","included","infection","infection","other combinations","14+","~10 weeks",1,"55.9",81.8
273,"Magro","Matched case-control","22Jun2022","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","SNF personnel 18+ years","excluded","infection","infection","other combinations","14+","~10 weeks",32,"1",54
274,"Moline","Outbreak investigation","27Jun2022","USA","USA","North America",66220,2019,4,"Multiple or heterologous RNA","mRNA","2","SNF residents","excluded","infection","infection","beta","14+","~12 weeks",65,"25",84
275,"Carazo","Test-negative case-control","21Sep2022","Canada","CAN","North America",46580,2019,4,"Multiple or heterologous RNA","mRNA","2","HCW","excluded","infection","infection","omicron","14+","~70 weeks",35,"27",42
275,"Carazo","Test-negative case-control","21Sep2022","Canada","CAN","North America",46580,2019,4,"Multiple or heterologous RNA","mRNA","2","HCW","excluded","symptomatic disease","symptomatic","omicron","14+","~70 weeks",61,"52",69
276,"Cohen-Stavi","Taget trial emulation study","29Jun2022","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","5-11 years","excluded","infection","infection","omicron","7-21","1 week",51,"39",61
276,"Cohen-Stavi","Taget trial emulation study","29Jun2022","Israel","ISR","Asia",43800,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","5-11 years","excluded","symptomatic disease","symptomatic","omicron","7-21","1 week",48,"29",63
277,"Ionescu","Test-negative case-control","16Jan2023","Canada","CAN","North America",46580,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","12-17 years","excluded","infection","infection","omicron","14+","~26 weeks",41.9,"37.7",45.8
277,"Ionescu","Test-negative case-control","16Jan2023","Canada","CAN","North America",46580,2019,4,"BioNTech/Pfizer BNT162b2","mRNA","2","12-17 years","excluded","infection","infection","omicron","14-27","2 weeks",75.6,"65.8",82.6
