"","Study_id_f","first author","study design","n_row","publication_date","clean_vaccine","vac_type","dose_number","dose","dose interval","timing_of_dose_days","population_detail","population_category","historyofCOVID","max duration follow-up","outcome_detail","outcome_category","outcome_final","variant_clean","VE","LCL","UCL","country_clean","Country.Code","continent","Region","GNI_per_c_WB","year_GNI","Economy","Income group","q_GNI_per_c_WB","min_period_days","max_period_days","include","justification","sensitivity"
"2190",256,"Tenforde","Case-control",2244,2022-05-17,"Multiple or heterologous RNA","mRNA","2","final",NA,"14-179","immunocompetent adults","immunocompetent adults","included","~23.5 weeks","hospitalization","severe","severe","other combinations",90,88,91,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2191",256,"Tenforde","Case-control",2245,2022-05-17,"Multiple or heterologous RNA","mRNA","2","final",NA,"180+","immunocompetent adults","immunocompetent adults","included","~47 weeks","hospitalization","severe","severe","other combinations",82,79,85,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2192",256,"Tenforde","Case-control",2246,2022-05-17,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","hospitalized immunocompromised adults","immunocompromised adults","included","~47 weeks","hospitalization","severe","severe","other combinations",63,55,69,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2193",256,"Tenforde","Case-control",2247,2022-05-17,"Multiple or heterologous RNA","mRNA","2","final",NA,"14-179","hospitalized immunocompromised adults","immunocompromised adults","included","~23.5 weeks","hospitalization","severe","severe","other combinations",65,57,72,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2194",256,"Tenforde","Case-control",2248,2022-05-17,"Multiple or heterologous RNA","mRNA","2","final",NA,"180+","hospitalized immunocompromised adults","immunocompromised adults","included","~47 weeks","hospitalization","severe","severe","other combinations",53,38,65,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2195",256,"Tenforde","Case-control",2249,2022-05-17,"Multiple or heterologous RNA","mRNA","2","final",NA,"14-179","hospitalized adults","hospitalized adults","included","~23.5 weeks","hospitalization","severe","severe","delta",90,88,91,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2196",256,"Tenforde","Case-control",2250,2022-05-17,"Multiple or heterologous RNA","mRNA","2","final",NA,"180+","hospitalized adults","hospitalized adults","included","~47 weeks","hospitalization","severe","severe","delta",83,80,86,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2197",257,"Fano","Retrospective cohort",2251,2022-05-18,"Multiple or heterologous RNA","mRNA","2","final",NA,"40-44",">= 12 years","general pop","excluded","~48 weeks","infection","infection","infection","other combinations",70.9,69.3,72.4,"Italy","ITA","Europe","Europe & Central Asia",34890,2019,"Italy","High income",4,NA,NA,NA,NA,NA
"2198",257,"Fano","Retrospective cohort",2252,2022-05-18,"Multiple or heterologous RNA","mRNA","2","final",NA,"200+",">= 12 years","general pop","excluded","~48 weeks","infection","infection","infection","other combinations",22.7,18.5,26.8,"Italy","ITA","Europe","Europe & Central Asia",34890,2019,"Italy","High income",4,NA,NA,NA,NA,NA
"2199",257,"Fano","Retrospective cohort",2253,2022-05-18,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","final",NA,"40-44",">= 12 years","general pop","excluded","~48 weeks","infection","infection","infection","other combinations",76.3,71.9,80,"Italy","ITA","Europe","Europe & Central Asia",34890,2019,"Italy","High income",4,NA,NA,NA,NA,NA
"2200",257,"Fano","Retrospective cohort",2254,2022-05-18,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","final",NA,"125+",">= 12 years","general pop","excluded","~48 weeks","infection","infection","infection","other combinations",3.8,0,9.2,"Italy","ITA","Europe","Europe & Central Asia",34890,2019,"Italy","High income",4,NA,NA,NA,NA,NA
"2201",257,"Fano","Retrospective cohort",2255,2022-05-18,"Janssen Ad26.COV2.S","Vectored","1","final",NA,"40-44",">= 12 years","general pop","excluded","~48 weeks","infection","infection","infection","other combinations",39.4,28.3,48.8,"Italy","ITA","Europe","Europe & Central Asia",34890,2019,"Italy","High income",4,NA,NA,NA,NA,NA
"2202",257,"Fano","Retrospective cohort",2256,2022-05-18,"Janssen Ad26.COV2.S","Vectored","1","final",NA,"150+",">= 12 years","general pop","excluded","~48 weeks","infection","infection","infection","other combinations",2.5,0,9.1,"Italy","ITA","Europe","Europe & Central Asia",34890,2019,"Italy","High income",4,NA,NA,NA,NA,NA
"2203",257,"Fano","Retrospective cohort",2257,2022-05-18,"Heterologous platforms","Multiple","2","final",NA,"40-44",">= 12 years","general pop","excluded","~48 weeks","infection","infection","infection","other combinations",81.6,75.3,86.3,"Italy","ITA","Europe","Europe & Central Asia",34890,2019,"Italy","High income",4,NA,NA,NA,NA,NA
"2204",257,"Fano","Retrospective cohort",2258,2022-05-18,"Heterologous platforms","Multiple","2","final",NA,"125+",">= 12 years","general pop","excluded","~48 weeks","infection","infection","infection","other combinations",3.1,0,12,"Italy","ITA","Europe","Europe & Central Asia",34890,2019,"Italy","High income",4,NA,NA,NA,NA,NA
"2205",258,"Paranthaman","Retrospective cohort",2259,2022-05-20,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"7-34","LTCF residents","LTCF residents","excluded","~3 weeks","infection","infection","infection","other combinations",62,46,73,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"2206",258,"Paranthaman","Retrospective cohort",2260,2022-05-20,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"147+","LTCF residents","LTCF residents","excluded","~37 weeks","infection","infection","infection","other combinations",47,32,58,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"2207",258,"Paranthaman","Retrospective cohort",2261,2022-05-20,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"7-34","LTCF residents","LTCF residents","excluded","~3 weeks","death","death","death","other combinations",86,67,94,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"2208",258,"Paranthaman","Retrospective cohort",2262,2022-05-20,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"147+","LTCF residents","LTCF residents","excluded","~37 weeks","death","death","death","other combinations",69,51,80,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"2209",258,"Paranthaman","Retrospective cohort",2263,2022-05-20,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","final",NA,"7-34","LTCF residents","LTCF residents","excluded","~3 weeks","infection","infection","infection","other combinations",61,40,74,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"2210",258,"Paranthaman","Retrospective cohort",2264,2022-05-20,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","final",NA,"147+","LTCF residents","LTCF residents","excluded","~24.5 weeks","infection","infection","infection","other combinations",29,10,43,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"2211",258,"Paranthaman","Retrospective cohort",2265,2022-05-20,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","final",NA,"7-34","LTCF residents","LTCF residents","excluded","~3 weeks","death","death","death","other combinations",83,58,94,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"2212",258,"Paranthaman","Retrospective cohort",2266,2022-05-20,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","final",NA,"147+","LTCF residents","LTCF residents","excluded","~24.5 weeks","death","death","death","other combinations",56,33,70,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"2213",258,"Paranthaman","Retrospective cohort",2267,2022-05-20,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"7-34","LTCF residents","LTCF residents","previously infected only","~3 weeks","infection","infection","infection","other combinations",79,15,95,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"2214",258,"Paranthaman","Retrospective cohort",2268,2022-05-20,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"147+","LTCF residents","LTCF residents","previously infected only","~37 weeks","infection","infection","infection","other combinations",80,43,93,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"2215",258,"Paranthaman","Retrospective cohort",2269,2022-05-20,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","final",NA,"7-34","LTCF residents","LTCF residents","previously infected only","~3 weeks","infection","infection","infection","other combinations",37,-50,73,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"2216",258,"Paranthaman","Retrospective cohort",2270,2022-05-20,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","final",NA,"147+","LTCF residents","LTCF residents","previously infected only","~24.5 weeks","infection","infection","infection","other combinations",65,14,86,"UK","GBR","Europe","Europe & Central Asia",43240,2019,"United Kingdom","High income",4,NA,NA,NA,NA,NA
"2217",259,"Tsundue","Prospective cohort",2271,2022-05-24,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","final",NA,"14+","residents of congregate living facilities","general pop","included","13 weeks","infection","infection","infection","delta",98,85,99.8,"India","IND","Asia","South Asia",2070,2019,"India","Lower middle income",1,NA,NA,NA,NA,NA
"2218",259,"Tsundue","Prospective cohort",2272,2022-05-24,"Oxford/AstraZeneca ChAdOx1-S","Vectored","2","final",NA,"14+","residents of congregate living facilities","general pop","included","13 weeks","shortness of breath/use of supplemental oxygen, hospitalization or death","severe","severe","delta",99,90,99.8,"India","IND","Asia","South Asia",2070,2019,"India","Lower middle income",1,14,91,"yes",NA,0
"2219",260,"Amir","Retrospective cohort",2273,2022-09-09,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"14-35","5-10 years","5-10 years","included","~2 weeks","infection","infection","infection","omicron",58.3,54.6,61.5,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"2220",261,"Chin","Retrospective cohort",2274,2022-10-26,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","prison residents >= 18 years","prison residents","excluded","~65 weeks","infection","infection","infection","omicron",18.6,7.7,28.1,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2221",261,"Chin","Retrospective cohort",2275,2022-10-26,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","prison staff >= 18 years","prison staff","excluded","~65 weeks","infection","infection","infection","omicron",40.1,34,45.6,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2222",261,"Chin","Retrospective cohort",2276,2022-10-26,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","prison residents >= 18 years","prison residents","previously infected before July 1, 2021","~65 weeks","infection","infection","infection","omicron",51.2,41.5,59.2,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2223",261,"Chin","Retrospective cohort",2277,2022-10-26,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","prison staff >= 18 years","prison staff","previously infected before July 1, 2021","~65 weeks","infection","infection","infection","omicron",55.8,49.6,61.2,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2224",261,"Chin","Retrospective cohort",2278,2022-10-26,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","prison residents >= 18 years","prison residents","previously infected between July 1 and November 30, 2021","~65 weeks","infection","infection","infection","omicron",68.7,38.5,84.1,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2225",261,"Chin","Retrospective cohort",2279,2022-10-26,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","prison staff >= 18 years","prison staff","previously infected between July 1 and November 30, 2021","~65 weeks","infection","infection","infection","omicron",83.2,77.7,87.4,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2226",261,"Chin","Retrospective test-negative case control",2280,2022-10-26,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","prison residents and staff >= 18 years","prison residents and staff","excluded","~65 weeks","infection","infection","infection","omicron",14.9,12.3,19.7,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2227",261,"Chin","Retrospective test-negative case control",2281,2022-10-26,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","prison residents and staff >= 18 years","prison residents and staff","previously infected before July 1, 2021","~65 weeks","infection","infection","infection","omicron",47.8,46.6,52.8,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2228",261,"Chin","Retrospective test-negative case control",2282,2022-10-26,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","prison residents and staff >= 18 years","prison residents and staff","previously infected between July 1 and November 30, 2021","~65 weeks","infection","infection","infection","omicron",73.1,69.8,80.1,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2229",262,"Carlsen","Retrospective cohort",2283,2022-06-01,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","newborns","newborns","excluded","~45 weeks","infection during an infant's first 4 months of life (born to unvaccinated mothers and mothers vaccinated in 2nd or 3rd trimester)","infection during an infant's first 4 months of life","infection","omicron",30,17,41,"Norway","NOR","Europe","Europe & Central Asia",82430,2019,"Norway","High income",4,NA,NA,NA,NA,NA
"2230",262,"Carlsen","Retrospective cohort",2284,2022-06-01,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","newborns","newborns","excluded","~45 weeks","infection during an infant's first 4 months of life (born to unvaccinated mothers and mothers vaccinated in 2nd or 3rd trimester)","infection during an infant's first 4 months of life","infection","delta",71,56,81,"Norway","NOR","Europe","Europe & Central Asia",82430,2019,"Norway","High income",4,NA,NA,NA,NA,NA
"2231",263,"Grewal","Test-negative case-control",2285,2022-07-06,"Multiple or heterologous RNA","mRNA","2","final",NA,"0+","LTCF residents","LTCF residents","included","~66 weeks","infection","infection","infection","omicron",6,-5,15,"Canada","CAN","North America","North America",46580,2019,"Canada","High income",4,NA,NA,NA,NA,NA
"2232",263,"Grewal","Test-negative case-control",2286,2022-07-06,"Multiple or heterologous RNA","mRNA","2","final",NA,"0+","LTCF residents","LTCF residents","included","~66 weeks","symptomatic disease","symptomatic","symptomatic","omicron",23,1,40,"Canada","CAN","North America","North America",46580,2019,"Canada","High income",4,NA,NA,NA,NA,NA
"2233",263,"Grewal","Test-negative case-control",2287,2022-07-06,"Multiple or heterologous RNA","mRNA","2","final",NA,"0+","LTCF residents","LTCF residents","included","~66 weeks","hospitalization or death","severe","severe","omicron",52,33,65,"Canada","CAN","North America","North America",46580,2019,"Canada","High income",4,NA,NA,NA,NA,NA
"2234",264,"Spicer","Test-negative case-control",2288,2022-05-26,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","12-17 years","12-17 years","excluded","~36.5 weeks","infection","infection","infection","delta",81,79.7,82.3,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2235",264,"Spicer","Test-negative case-control",2289,2022-05-26,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","12-17 years","12-17 years","previously infected only","~36.5 weeks","infection","infection","infection","delta",78.3,66.7,86.5,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2236",265,"Richterman","Test-negative case-control",2290,2022-06-06,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"14+","HCW","HCW","excluded","~63 weeks","symptomatic disease","symptomatic","symptomatic","omicron",41,-17,87,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2237",265,"Richterman","Test-negative case-control",2291,2022-06-06,"Moderna mRNA-1273","mRNA","2","final",NA,"14+","HCW","HCW","excluded","~63 weeks","symptomatic disease","symptomatic","symptomatic","omicron",5,-69,47,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2238",265,"Richterman","Test-negative case-control",2292,2022-06-06,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"14+","HCW","HCW","excluded","~63 weeks","symptomatic disease","symptomatic","symptomatic","delta",75,52,87,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2239",265,"Richterman","Test-negative case-control",2293,2022-06-06,"Moderna mRNA-1273","mRNA","2","final",NA,"14+","HCW","HCW","excluded","~63 weeks","symptomatic disease","symptomatic","symptomatic","delta",73,56,84,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2240",266,"Lin","RCT crossover",2294,2022-06-08,"Moderna mRNA-1273","mRNA","2","final",NA,"12 days",">= 18 years","general pop","excluded","~0 weeks","symptomatic disease","symptomatic","symptomatic","other combinations",92.6,80.5,97.2,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2241",266,"Lin","RCT crossover",2295,2022-06-08,"Moderna mRNA-1273","mRNA","2","final",NA,"172 days",">= 18 years","general pop","excluded","~22.5 weeks","symptomatic disease","symptomatic","symptomatic","other combinations",89.6,41.7,98.2,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2242",267,"Lewis","Test-negative case-control",2296,2022-06-08,"Janssen Ad26.COV2.S","Vectored","1","final",NA,"14+","hospitalized adults","general pop","included","~39.5 weeks","hospitalization","severe","severe","other combinations",70,63,75,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2243",267,"Lewis","Test-negative case-control",2297,2022-06-08,"Janssen Ad26.COV2.S","Vectored","1","final",NA,"14-90","hospitalized adults","general pop","included","~39.5 weeks","hospitalization","severe","severe","other combinations",73,60,82,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2244",267,"Lewis","Test-negative case-control",2298,2022-06-08,"Janssen Ad26.COV2.S","Vectored","1","final",NA,"180+","hospitalized adults","general pop","included","~39.5 weeks","hospitalization","severe","severe","other combinations",70,54,81,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2245",267,"Lewis","Test-negative case-control",2299,2022-06-08,"Janssen Ad26.COV2.S","Vectored","1","final",NA,"14+","hospitalized immunocompromised adults","immunocompromised adults","included","~39.5 weeks","hospitalization","severe","severe","other combinations",55,31,72,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2246",267,"Lewis","Test-negative case-control",2300,2022-06-08,"Janssen Ad26.COV2.S","Vectored","1","final",NA,"14+","hospitalized adults","general pop","included","~39.5 weeks","hospitalization","severe","severe","alpha",68,43,83,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2247",267,"Lewis","Test-negative case-control",2301,2022-06-08,"Janssen Ad26.COV2.S","Vectored","1","final",NA,"14+","hospitalized adults","general pop","included","~39.5 weeks","hospitalization","severe","severe","delta",72,64,78,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2248",270,"Al Kaabi","Retrospective cohort",2306,2022-06-09,"Beijing/Sinopharm BBIBP-CorV","Inactivated","2","final",NA,"14+",">= 18 years","general pop","excluded","~39 weeks","hospitalization","severe","severe","original",97.3,95.7,98.3,"United Arab Emirates","ARE","Asia","Middle East & North Africa",45070,2019,"United Arab Emirates","High income",4,NA,NA,NA,NA,NA
"2249",270,"Al Kaabi","Retrospective cohort",2307,2022-06-09,"Beijing/Sinopharm BBIBP-CorV","Inactivated","2","final",NA,"14+",">= 18 years","general pop","excluded","~39 weeks","critical care admission","severe","severe","original",98.8,95.3,99.7,"United Arab Emirates","ARE","Asia","Middle East & North Africa",45070,2019,"United Arab Emirates","High income",4,NA,NA,NA,NA,NA
"2250",270,"Al Kaabi","Retrospective cohort",2308,2022-06-09,"Beijing/Sinopharm BBIBP-CorV","Inactivated","2","final",NA,"14+",">= 18 years","general pop","excluded","~39 weeks","death","death","death","original",100,100,100,"United Arab Emirates","ARE","Asia","Middle East & North Africa",45070,2019,"United Arab Emirates","High income",4,NA,NA,NA,NA,NA
"2251",270,"Al Kaabi","Retrospective cohort",2309,2022-06-09,"Beijing/Sinopharm BBIBP-CorV","Inactivated","2","final",NA,"14+",">= 18 years","general pop","excluded","~39 weeks","hospitalization","severe","severe","alpha",73.3,70.6,75.7,"United Arab Emirates","ARE","Asia","Middle East & North Africa",45070,2019,"United Arab Emirates","High income",4,NA,NA,NA,NA,NA
"2252",270,"Al Kaabi","Retrospective cohort",2310,2022-06-09,"Beijing/Sinopharm BBIBP-CorV","Inactivated","2","final",NA,"14+",">= 18 years","general pop","excluded","~39 weeks","critical care admission","severe","severe","alpha",79.1,73.1,83.7,"United Arab Emirates","ARE","Asia","Middle East & North Africa",45070,2019,"United Arab Emirates","High income",4,NA,NA,NA,NA,NA
"2253",270,"Al Kaabi","Retrospective cohort",2311,2022-06-09,"Beijing/Sinopharm BBIBP-CorV","Inactivated","2","final",NA,"14+",">= 18 years","general pop","excluded","~39 weeks","death","death","death","alpha",81.9,66.9,90.1,"United Arab Emirates","ARE","Asia","Middle East & North Africa",45070,2019,"United Arab Emirates","High income",4,NA,NA,NA,NA,NA
"2254",270,"Al Kaabi","Retrospective cohort",2312,2022-06-09,"Beijing/Sinopharm BBIBP-CorV","Inactivated","2","final",NA,"14+",">= 18 years","general pop","excluded","~39 weeks","hospitalization","severe","severe","delta",34.6,14.2,50.2,"United Arab Emirates","ARE","Asia","Middle East & North Africa",45070,2019,"United Arab Emirates","High income",4,NA,NA,NA,NA,NA
"2255",270,"Al Kaabi","Retrospective cohort",2313,2022-06-09,"Beijing/Sinopharm BBIBP-CorV","Inactivated","2","final",NA,"14+",">= 18 years","general pop","excluded","~39 weeks","critical care admission","severe","severe","delta",49.6,0,76.4,"United Arab Emirates","ARE","Asia","Middle East & North Africa",45070,2019,"United Arab Emirates","High income",4,NA,NA,NA,NA,NA
"2256",270,"Al Kaabi","Retrospective cohort",2314,2022-06-09,"Beijing/Sinopharm BBIBP-CorV","Inactivated","2","final",NA,"14+",">= 18 years","general pop","excluded","~39 weeks","death","death","death","delta",62.5,31.4,79.5,"United Arab Emirates","ARE","Asia","Middle East & North Africa",45070,2019,"United Arab Emirates","High income",4,NA,NA,NA,NA,NA
"2257",271,"Gray","Test-negative case-control",2315,2022-06-09,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"14-27","HCW","HCW","excluded","~30 weeks","hospitalization","severe","severe","omicron",88,62,96,"South Africa","ZAF","Africa","Sub-Saharan Africa",6570,2019,"South Africa","Upper middle income",3,NA,NA,NA,NA,NA
"2258",271,"Gray","Test-negative case-control",2316,2022-06-09,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"148-207","HCW","HCW","excluded","~30 weeks","hospitalization","severe","severe","omicron",67,63,71,"South Africa","ZAF","Africa","Sub-Saharan Africa",6570,2019,"South Africa","Upper middle income",3,NA,NA,NA,NA,NA
"2259",271,"Gray","Test-negative case-control",2317,2022-06-09,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"14-27","HCW","HCW","excluded","~30 weeks","ICU admission","severe","severe","omicron",69,56,79,"South Africa","ZAF","Africa","Sub-Saharan Africa",6570,2019,"South Africa","Upper middle income",3,NA,NA,NA,NA,NA
"2260",271,"Gray","Test-negative case-control",2318,2022-06-09,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"148-207","HCW","HCW","excluded","~30 weeks","ICU admission","severe","severe","omicron",71,65,76,"South Africa","ZAF","Africa","Sub-Saharan Africa",6570,2019,"South Africa","Upper middle income",3,NA,NA,NA,NA,NA
"2261",272,"Adams","Prospective test-negative case control",2319,2022-10-11,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"14+",">= 18 years","general pop","included","~72 weeks","hospitalization","severe","severe","omicron",36,21,48,"USA","USA","North America","North America",66220,2019,"United States","High income",4,14,504,"yes",NA,0
"2262",272,"Adams","Prospective test-negative case control",2320,2022-10-11,"Moderna mRNA-1273","mRNA","2","final",NA,"14+",">= 18 years","general pop","included","~72 weeks","hospitalization","severe","severe","omicron",41,25,54,"USA","USA","North America","North America",66220,2019,"United States","High income",4,14,504,"yes",NA,0
"2263",272,"Adams","Prospective test-negative case control",2321,2022-10-11,"Janssen Ad26.COV2.S","Vectored","2","final",NA,"14+",">= 18 years","general pop","included","~72 weeks","hospitalization","severe","severe","omicron",32,9,62,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2264",273,"Magro","Matched case-control",2322,2022-06-22,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","SNF personnel 18+ years","SNF employees","included","~10 weeks","infection","infection","infection","other combinations",1,55.9,81.8,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2265",273,"Magro","Matched case-control",2323,2022-06-22,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","SNF personnel 18+ years","SNF employees","excluded","~10 weeks","infection","infection","infection","other combinations",32,1,54,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2266",274,"Moline","Outbreak investigation",2324,2022-06-27,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","SNF residents","SNF residents","excluded","~12 weeks","infection","infection","infection","beta",65,25,84,"USA","USA","North America","North America",66220,2019,"United States","High income",4,NA,NA,NA,NA,NA
"2267",275,"Carazo","Test-negative case-control",2325,2022-09-21,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","HCW","HCW","excluded","~70 weeks","infection","infection","infection","omicron",35,27,42,"Canada","CAN","North America","North America",46580,2019,"Canada","High income",4,NA,NA,NA,NA,NA
"2268",275,"Carazo","Test-negative case-control",2326,2022-09-21,"Multiple or heterologous RNA","mRNA","2","final",NA,"14+","HCW","HCW","excluded","~70 weeks","symptomatic disease","symptomatic","symptomatic","omicron",61,52,69,"Canada","CAN","North America","North America",46580,2019,"Canada","High income",4,NA,NA,NA,NA,NA
"2269",276,"Cohen-Stavi","Taget trial emulation study",2327,2022-06-29,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"7-21","5-11 years","5-11 years","excluded","1 week","infection","infection","infection","omicron",51,39,61,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"2270",276,"Cohen-Stavi","Taget trial emulation study",2328,2022-06-29,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"7-21","5-11 years","5-11 years","excluded","1 week","symptomatic disease","symptomatic","symptomatic","omicron",48,29,63,"Israel","ISR","Asia","Middle East & North Africa",43800,2019,"Israel","High income",4,NA,NA,NA,NA,NA
"2271",277,"Ionescu","Test-negative case-control",2329,2023-01-16,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"14+","12-17 years","12-17 years","excluded","~26 weeks","infection","infection","infection","omicron",41.9,37.7,45.8,"Canada","CAN","North America","North America",46580,2019,"Canada","High income",4,NA,NA,NA,NA,NA
"2272",277,"Ionescu","Test-negative case-control",2330,2023-01-16,"BioNTech/Pfizer BNT162b2","mRNA","2","final",NA,"14-27","12-17 years","12-17 years","excluded","2 weeks","infection","infection","infection","omicron",75.6,65.8,82.6,"Canada","CAN","North America","North America",46580,2019,"Canada","High income",4,NA,NA,NA,NA,NA
