"","...1","...2","study ID","first author","study design","publication date","primary series vaccine","historyofCOVID","dose_number","dose","timing_of_dose_days","outcome_detail","outcome_category","country","population_detail","population_category","VE","LCL","UCL","variant_sequenced","variant_context","max duration follow-up","dose interval","notes","country_clean","iso3c","Study_id_f","Country.Code","GNI_per_c_WB","year_GNI","Economy","Region","Income group","q_GNI_per_c_WB","continent","owid_vac_intro","owid_vac_F40","owid_vac_F70","who_vac_intro","min_vac_intro","diff_owid_who_intro","diff_min_vac_intro_1Dec2020","diff_intro_F40","diff_intro_F70","diff_min_vac_intro_1Dec2020_clean","V1_group","V40_group","V1_dummie","V40_dummie","V70_dummie","publication_date","outcome_final","semester","clean_vaccine","vac_type","variant_clean","include_population","inclusion_notes","max_follow_up_days","n_estimates","min_period_days","max_period_days","include","justification","sensitivity","VE1","LCL.1","UCL.1","RR","RR.LCL","RR.UCL","ln.RR","SE.ln.RR"
"80",133,133,426,"Hernandez-Avila","Test-negative case-control","19Oct2023","AZD1222 (AstraZeneca)","excluded",2,"final","<91","hospitalization with ARI","severe","Mexico",">=65 years",">=65 years",81.1,78.4,83.5,NA,"delta","~33 weeks",NA,NA,"Mexico","MEX",426,"MEX",19630,2019,"Mexico","Latin America & Caribbean","Upper middle income",3,"North America","27/12/2020","18/10/2021",NA,"24/12/2020","24/12/2020",3,23,298,NA,23,"<30","270-359","yes","yes","no","19/10/2023","severe","2023 (Jul-Dec)","Oxford/AstraZeneca ChAdOx1-S","Vectored","delta","yes",NA,231,4,NA,91,"yes",NA,1,81.1,78.4,83.5,0.189,0.165,0.216,-1.66600826392249,0.0687073810672408
"81",137,137,151,"Collie","Test-negative case-control","29Dec2021","BNT162b2 (Pfizer BioNTech)","included",2,"final","14+","Hospitalization","severe","South Africa",">= 18 years","general pop",70,62,76,NA,"omicron","~24 weeks",NA,NA,"South Africa","ZAF",151,"ZAF",14080,2019,"South Africa","Sub-Saharan Africa","Upper middle income",2,"Africa","19/02/2021",NA,NA,"17/02/2021","17/02/2021",2,78,NA,NA,78,"60-89","not reached","yes","no","no","29/12/2021","severe","2021 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,168,1,14,168,"yes",NA,0,70,62,76,0.3,0.24,0.38,-1.20397280432594,0.11722763504552
"82",138,138,165,"Tartof","Test-negative case-control","22Apr2022","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","7+","hospitalization","severe","USA","hospital admissions","general pop",62,53,69,"omicron","omicron","~47 weeks",NA,NA,"USA","USA",165,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","22/04/2022","severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,329,3,7,329,"yes",NA,0,62,53,69,0.38,0.31,0.47,-0.967584026261706,0.106163366639008
"83",141,141,179,"Chemaitelly","Test-negative case-control","02Jun2022","BNT162b2 (Pfizer BioNTech)","included",2,"final","1-6 months","severe, critical or fatal disease","severe","Qatar",">= 18 years","general pop",70.4,45,85,"omicron","omicron","~58 weeks",NA,NA,"Qatar","QAT",179,"QAT",92300,2019,"Qatar","Middle East & North Africa","High income",4,"Asia","28/01/2021","31/05/2021","16/08/2021",NA,"28/01/2021",NA,58,123,200,58,"30-59","<180","yes","yes","yes","02/06/2022","severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,406,2,30,180,"yes",NA,0,70.4,45,85,0.296,0.15,0.55,-1.21739582465808,0.331449740849556
"84",143,143,194,"Smid","Retrospective cohort","15Oct2022","BNT162b2 (Pfizer BioNTech)","included",2,"final","14-74","hospitalization","severe","Czech Republic","all ages","general pop",46,28,60,NA,"omicron","~54 weeks",NA,NA,"Czech Republic","CZE",194,"CZE",41530,2019,"Czechia","Europe & Central Asia","High income",4,"Europe","27/12/2020","16/07/2021",NA,"23/12/2020","23/12/2020",4,22,205,NA,22,"<30","180-269","yes","yes","no","15/10/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,378,2,14,74,"yes",NA,0,46,28,60,0.54,0.4,0.72,-0.616186139423817,0.149945577781153
"85",145,145,203,"Baum","Retrospective cohort","05Nov2022","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","14-90","hospitalization","severe","Finland",">= 70 years",">= 70 years",91,83,95,NA,"omicron","~56 weeks",NA,NA,"Finland","FIN",203,"FIN",52070,2019,"Finland","Europe & Central Asia","High income",4,"Europe","17/01/2021","15/08/2021","31/10/2021","23/12/2020","23/12/2020",25,22,235,312,22,"<30","180-269","yes","yes","yes","05/11/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,392,2,14,90,"yes",NA,1,91,83,95,0.09,0.05,0.17,-2.40794560865187,0.312187610107682
"86",149,149,207,"Altarawneh","Test-negative case-control","15Jun2022","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","14+","hospitalization or death","severe","Qatar",">= 18 years","general pop",73.5,60.5,82.2,"omicron","omicron","44 weeks",NA,NA,"Qatar","QAT",207,"QAT",92300,2019,"Qatar","Middle East & North Africa","High income",4,"Asia","28/01/2021","31/05/2021","16/08/2021",NA,"28/01/2021",NA,58,123,200,58,"30-59","<180","yes","yes","yes","15/06/2022","severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,308,3,14,308,"yes",NA,0,73.5,60.5,82.2,0.265,0.178,0.395,-1.32802545299591,0.203342401685979
"87",150,150,210,"Stowe","Test-negative case-control","30Sep2022","BNT162b2 (Pfizer BioNTech)","included",2,"final","14-174","hospitalization with ARI","severe","UK","18-64 years","18-64 years",73.8,62.5,81.7,NA,"omicron","~43 weeks",NA,NA,"UK","GBR",210,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe","10/01/2021","04/06/2021","23/12/2021","21/12/2020","21/12/2020",20,20,165,367,20,"<30","<180","yes","yes","yes","30/09/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,301,4,14,174,"yes",NA,0,73.8,62.5,81.7,0.262,0.183,0.375,-1.33941077522104,0.183020375798212
"88",152,152,210,"Stowe","Test-negative case-control","30Sep2022","BNT162b2 (Pfizer BioNTech)","included",2,"final","14-174","hospitalization with ARI","severe","UK",">= 65 years",">= 65 years",87.6,79.4,92.5,NA,"omicron","~43 weeks",NA,NA,"UK","GBR",210,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe","10/01/2021","04/06/2021","23/12/2021","21/12/2020","21/12/2020",20,20,165,367,20,"<30","<180","yes","yes","yes","30/09/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,301,4,14,174,"yes",NA,1,87.6,79.4,92.5,0.124,0.075,0.206,-2.0874737133771,0.257752054911549
"89",154,154,215,"Hansen","Retrospective cohort","30Mar2022","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","14-30","hospitalization","severe","Denmark",">= 12 years","general pop",50.5,33.9,63,NA,"omicron","~2 weeks",NA,NA,"Denmark","DNK",215,"DNK",61830,2019,"Denmark","Europe & Central Asia","High income",4,"Europe","01/01/2021","16/07/2021","03/09/2021","16/12/2020","16/12/2020",16,15,212,261,15,"<30","180-269","yes","yes","yes","30/03/2022","severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,14,2,14,30,"yes",NA,0,50.5,33.9,63,0.495,0.37,0.661,-0.703197516413447,0.148023171993218
"90",156,156,230,"Plumb","Test-negative case-control","12Apr2022","BNT162b2 (Pfizer BioNTech)","included",2,"final","14+","hospitalization","severe","USA","hospitalized adults","general pop",37.3,25.8,46.9,NA,"omicron","~55 weeks",NA,NA,"USA","USA",230,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","12/04/2022","severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,385,1,14,385,"yes",NA,0,37.3,25.8,46.9,0.627,0.531,0.742,-0.466808738349216,0.0853538831442453
"91",157,157,240,"Cerqueira-Silva","Test-negative case-control","11Jan2023","BNT162b2 (Pfizer BioNTech)","included",2,"final","14-59","severe disease","severe","Brazil",">= 18 years","general pop",82.9,80.6,85,NA,"omicron","~7 weeks",NA,NA,"Brazil","BRA",240,"BRA",14890,2019,"Brazil","Latin America & Caribbean","Upper middle income",3,"South America","19/01/2021","24/09/2021","05/02/2022","17/01/2021","17/01/2021",2,47,250,384,47,"30-59","180-269","yes","yes","yes","11/01/2023","severe","2023 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,49,2,14,59,"yes",NA,0,82.9,80.6,85,0.171,0.15,0.194,-1.76609172247948,0.0656180777977226
"92",159,159,244,"Sharma","Matched case-control","27Apr2022","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","14+","hospitalization","severe","USA","veterans","veterans",52.9,47.8,57.6,NA,"omicron","~42 weeks",NA,NA,"USA","USA",244,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","27/04/2022","severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,294,1,14,294,"yes",NA,0,52.9,47.8,57.6,0.471,0.424,0.522,-0.752897184965719,0.0530444215945615
"93",160,160,272,"Adams","Prospective test-negative case control","11Oct2022","BNT162b2 (Pfizer BioNTech)","included",2,"final","14+","hospitalization","severe","USA",">= 18 years","general pop",36,21,48,"omicron BA.1, BA.2, BA.5","omicron BA.1, BA.2, BA.5","~72 weeks",NA,NA,"USA","USA",272,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","11/10/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,504,1,14,504,"yes",NA,0,36,21,48,0.64,0.52,0.79,-0.446287102628419,0.106684728032039
"94",161,161,278,"Tartof","Test-negative case-control","07Oct2022","BNT162b2 (Pfizer BioNTech)","included",2,"final","<6 months","hospitalization","severe","USA",">= 18 years","general pop",54,38,65,"omicron BA.1","omicron BA.1","~70 weeks",NA,NA,"USA","USA",278,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","07/10/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,490,4,NA,180,"yes",NA,0,54,38,65,0.46,0.35,0.62,-0.776528789498996,0.145863858049918
"95",163,163,278,"Tartof","Test-negative case-control","07Oct2022","BNT162b2 (Pfizer BioNTech)","included",2,"final","<6 months","hospitalization","severe","USA",">= 18 years","general pop",56,-2,81,"omicron BA.2","omicron BA.2","~70 weeks",NA,NA,"USA","USA",278,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","07/10/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,490,4,NA,180,"yes",NA,0,56,-2,81,0.44,0.19,1.02040816326531,-0.82098055206983,0.428809671974278
"96",165,165,299,"Risk","Retrospective cohort","16Aug2022","BNT162b2 (Pfizer BioNTech)","included",2,"final","14+","hospitalization","severe","USA",">= 18 years","general pop",67,51,78,NA,"omicron","~56 weeks",NA,NA,"USA","USA",299,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","16/08/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,392,1,14,392,"yes",NA,0,67,51,78,0.33,0.22,0.49,-1.10866262452161,0.204280062436814
"97",166,166,301,"Yan","Case-control","18Aug2022","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","14+","severe disease","severe","Hong Kong","18-50 years","18-50 years",73.7,54.2,84.9,NA,"omicron BA.2","~52 weeks",NA,NA,"Hong Kong","HKG",301,"HKG",65240,2019,"Hong Kong SAR, China","East Asia & Pacific","High income",4,"Asia","23/02/2021","19/08/2021","04/03/2022",NA,"23/02/2021",NA,84,177,374,84,"60-89","<180","yes","yes","yes","18/08/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,364,3,14,364,"yes",NA,0,73.7,54.2,84.9,0.263,0.151,0.458,-1.33560124680437,0.283058506964097
"98",167,167,301,"Yan","Case-control","18Aug2022","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","14+","severe disease","severe","Hong Kong","51-64 years","51-64 years",84.5,72.2,91.4,NA,"omicron BA.2","~52 weeks",NA,NA,"Hong Kong","HKG",301,"HKG",65240,2019,"Hong Kong SAR, China","East Asia & Pacific","High income",4,"Asia","23/02/2021","19/08/2021","04/03/2022",NA,"23/02/2021",NA,84,177,374,84,"60-89","<180","yes","yes","yes","18/08/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,364,3,14,364,"yes",NA,0,84.5,72.2,91.4,0.155,0.086,0.278,-1.86433016206289,0.299304545264574
"99",168,168,301,"Yan","Case-control","18Aug2022","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","14+","severe disease","severe","Hong Kong",">= 65 years",">= 65 years",81.9,74.4,87.2,NA,"omicron BA.2","~52 weeks",NA,NA,"Hong Kong","HKG",301,"HKG",65240,2019,"Hong Kong SAR, China","East Asia & Pacific","High income",4,"Asia","23/02/2021","19/08/2021","04/03/2022",NA,"23/02/2021",NA,84,177,374,84,"60-89","<180","yes","yes","yes","18/08/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,364,3,14,364,"yes",NA,1,81.9,74.4,87.2,0.181,0.128,0.256,-1.70925824771631,0.176823260346925
"100",169,169,310,"Penayo","Test-negative case-control","01Jun2022","BNT162b2 (Pfizer BioNTech)","included",2,"final","14+","hospitalization with SARI","severe","Paraguay",">=18 years","general pop",49.5,9.9,71.7,NA,"omicron","~53 weeks",NA,NA,"Paraguay","PRY",310,"PRY",13770,2019,"Paraguay","Latin America & Caribbean","Upper middle income",2,"South America","23/02/2021","10/12/2021",NA,"22/02/2021","22/02/2021",1,83,291,NA,83,"60-89","270-359","yes","yes","no","01/06/2022","severe","2022 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,371,2,14,371,"yes",NA,0,49.5,9.9,71.7,0.505,0.283,0.901,-0.683196849706777,0.295423051011505
"101",171,171,316,"Collie","Test-negative case-control","14Sept2022","BNT162b2 (Pfizer BioNTech)","included",2,"final","14-27","hospitalization","severe","South Africa",">=18 years","general pop",80.3,62.8,89.5,NA,"omicron BA.1 or BA.2","~36 weeks",NA,NA,"South Africa","ZAF",316,"ZAF",14080,2019,"South Africa","Sub-Saharan Africa","Upper middle income",2,"Africa","19/02/2021",NA,NA,"17/02/2021","17/02/2021",2,78,NA,NA,78,"60-89","not reached","yes","no","no","14/09/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,252,4,14,27,"yes",NA,0,80.3,62.8,89.5,0.197,0.105,0.372,-1.62455155024415,0.322687118396843
"102",175,175,324,"Link-Gelles","Test-negative case-control","05Oct2022","BNT162b2 (Pfizer BioNTech)","included",2,"final","150+","hospitalization","severe","USA",">=18 years","general pop",17,7,27,NA,"omicron BA.4 or BA.5","~82 weeks",NA,NA,"USA","USA",324,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","05/10/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,574,1,150,574,"yes",NA,0,17,7,27,0.83,0.73,0.93,-0.186329578191493,0.0617704214298124
"103",176,176,326,"Lin","Retrospective cohort","26Sep2022","BNT162b2 (Pfizer BioNTech)","included",2,"final","~47 weeks","hospitalization","severe","USA",">=5 years","general pop",58.8,49.3,66.5,NA,"omicron","~47 weeks",NA,"Persons vaccinated between July 2021 and June 2022. The study includes additional VE estimates for individuals vaccinated between December 2020 and March 2021 and between April 2021 and June 2021","USA","USA",326,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","26/09/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,329,2,NA,329,"yes",NA,0,58.8,49.3,66.5,0.412,0.335,0.507,-0.886731929632611,0.105709304021969
"104",178,178,332,"Wan","Case-control","17Oct2022","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","14-180","hospitalization","severe","Hong Kong","60-79 years","60-79 years",74.6,72.1,76.8,NA,"omicron BA.2","~24 weeks",NA,NA,"Hong Kong","HKG",332,"HKG",65240,2019,"Hong Kong SAR, China","East Asia & Pacific","High income",4,"Asia","23/02/2021","19/08/2021","04/03/2022",NA,"23/02/2021",NA,84,177,374,84,"60-89","<180","yes","yes","yes","17/10/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,168,4,14,168,"yes",NA,1,74.6,72.1,76.8,0.254,0.232,0.279,-1.3704210119636,0.0470597985089428
"105",180,180,332,"Wan","Case-control","17Oct2022","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","14-180","hospitalization","severe","Hong Kong",">=80 years",">=80 years",81,78.2,83.5,NA,"omicron BA.2","~24 weeks",NA,NA,"Hong Kong","HKG",332,"HKG",65240,2019,"Hong Kong SAR, China","East Asia & Pacific","High income",4,"Asia","23/02/2021","19/08/2021","04/03/2022",NA,"23/02/2021",NA,84,177,374,84,"60-89","<180","yes","yes","yes","17/10/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,168,4,14,168,"yes",NA,1,81,78.2,83.5,0.19,0.165,0.218,-1.66073120682165,0.0710585685940072
"106",182,182,341,"Tartof","Test-negative case-control","25Oct2022","BNT162b2 (Pfizer BioNTech)","included",2,"final",">=6 months","hospitalization for ARI","severe","USA",">=18 years","general pop",-4,-118,50,"omicron BA.4/BA.5","omicron BA.4/BA.5","~84 weeks",NA,NA,"USA","USA",341,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","25/10/2022","severe","2022 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,588,1,180,588,"yes",NA,0,-4,NA,50,1.04166666666667,0.5,NA,0.0408219945202552,0.37447406891847
"107",183,183,392,"Yan","Case-control","03May2023","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","14-30","hospitalization","severe","Hong Kong",">=18 years","general pop",73,69.2,76.3,NA,"omicron BA.2","~32 weeks",NA,NA,"Hong Kong","HKG",392,"HKG",65240,2019,"Hong Kong SAR, China","East Asia & Pacific","High income",4,"Asia","23/02/2021","19/08/2021","04/03/2022",NA,"23/02/2021",NA,84,177,374,84,"60-89","<180","yes","yes","yes","03/05/2023","severe","2023 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,224,4,14,30,"yes",NA,0,73,69.2,76.3,0.27,0.237,0.308,-1.30933331998376,0.0668468474077661
"108",187,187,418,"Paternina-Caicedo","Test-negative case-control","09Sep2023","BNT162b2 (Pfizer BioNTech)","excluded",2,"final","14+","hospitalization","severe","Colombia",">=5 years","general pop",45,1,70,NA,"omicron BA.1","~47 weeks",NA,NA,"Colombia","COL",418,"COL",15530,2019,"Colombia","Latin America & Caribbean","Upper middle income",3,"South America","18/02/2021","26/10/2021","29/07/2022","17/02/2021","17/02/2021",1,78,251,527,78,"60-89","180-269","yes","yes","no","09/09/2023","severe","2023 (Jul-Dec)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,329,1,14,329,"yes",NA,0,45,1,70,0.55,0.3,0.99,-0.59783700075562,0.304572058283784
"109",188,188,240,"Cerqueira-Silva","Test-negative case-control","11Jan2023","BNT162b2 (Pfizer BioNTech)","included",2,"final","14-59","severe disease","severe","Scotland",">= 18 years","general pop",90.4,30.4,98.7,NA,"omicron","~7 weeks",NA,NA,"UK","GBR",500,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe","10/01/2021","04/06/2021","23/12/2021","21/12/2020","21/12/2020",20,20,165,367,20,"<30","<180","yes","yes","yes","11/01/2023","severe","2023 (Jan-Jun)","BioNTech/Pfizer BNT162b2","mRNA","omicron","yes",NA,49,2,14,59,"yes",NA,0,90.4,30.4,98.7,0.096,0.013,0.696,-2.3434070875143,1.0154082405288
"110",190,190,159,"Tseng","Test-negative case-control","21Feb2022","mRNA-1273 (Moderna)","included",2,"final","14+","Hospitalization","severe","USA",">= 18 years","general pop",84.5,23,96.9,"omicron","omicron","~47.5 weeks",NA,NA,"USA","USA",159,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","21/02/2022","severe","2022 (Jan-Jun)","Moderna mRNA-1273","mRNA","omicron","yes",NA,332.5,1,14,332.5,"yes",NA,0,84.5,23,96.9,0.155,0.0309999999999999,0.77,-1.86433016206289,0.819490640398619
"111",191,191,179,"Chemaitelly","Test-negative case-control","02Jun2022","mRNA-1273 (Moderna)","included",2,"final","1-6 months","severe, critical or fatal disease","severe","Qatar",">= 18 years","general pop",87.1,40.2,97.2,"omicron","omicron","~58 weeks",NA,NA,"Qatar","QAT",179,"QAT",92300,2019,"Qatar","Middle East & North Africa","High income",4,"Asia","28/01/2021","31/05/2021","16/08/2021",NA,"28/01/2021",NA,58,123,200,58,"30-59","<180","yes","yes","yes","02/06/2022","severe","2022 (Jan-Jun)","Moderna mRNA-1273","mRNA","omicron","yes",NA,406,2,30,180,"yes",NA,0,87.1,40.2,97.2,0.129,0.028,0.598,-2.04794287462046,0.780965878514139
"112",193,193,194,"Smid","Retrospective cohort","15Oct2022","mRNA-1273 (Moderna)","included",2,"final","14-74","hospitalization","severe","Czech Republic","all ages","general pop",51,-20,80,NA,"omicron","~54 weeks",NA,NA,"Czech Republic","CZE",194,"CZE",41530,2019,"Czechia","Europe & Central Asia","High income",4,"Europe","27/12/2020","16/07/2021",NA,"23/12/2020","23/12/2020",4,22,205,NA,22,"<30","180-269","yes","yes","no","15/10/2022","severe","2022 (Jul-Dec)","Moderna mRNA-1273","mRNA","omicron","yes",NA,378,2,14,74,"yes",NA,0,51,-20,80,0.49,0.2,1.25,-0.713349887877465,0.467495271364365
"113",195,195,203,"Baum","Retrospective cohort","05Nov2022","mRNA-1273 (Moderna)","excluded",2,"final","14-90","hospitalization","severe","Finland",">= 70 years",">= 70 years",79,43,92,NA,"omicron","~56 weeks",NA,NA,"Finland","FIN",203,"FIN",52070,2019,"Finland","Europe & Central Asia","High income",4,"Europe","17/01/2021","15/08/2021","31/10/2021","23/12/2020","23/12/2020",25,22,235,312,22,"<30","180-269","yes","yes","yes","05/11/2022","severe","2022 (Jul-Dec)","Moderna mRNA-1273","mRNA","omicron","yes",NA,392,2,14,90,"yes",NA,1,79,43,92,0.21,0.08,0.57,-1.56064774826467,0.500920848508856
"114",199,199,207,"Altarawneh","Test-negative case-control","15Jun2022","mRNA-1273 (Moderna)","excluded",2,"final","14+","hospitalization or death","severe","Qatar",">= 18 years","general pop",66.3,38.3,81.6,"omicron","omicron","44 weeks",NA,NA,"Qatar","QAT",207,"QAT",92300,2019,"Qatar","Middle East & North Africa","High income",4,"Asia","28/01/2021","31/05/2021","16/08/2021",NA,"28/01/2021",NA,58,123,200,58,"30-59","<180","yes","yes","yes","15/06/2022","severe","2022 (Jan-Jun)","Moderna mRNA-1273","mRNA","omicron","yes",NA,308,3,14,308,"yes",NA,0,66.3,38.3,81.6,0.337,0.184,0.617,-1.08767234862978,0.308656445483776
"115",200,200,230,"Plumb","Test-negative case-control","12Apr2022","mRNA-1273 (Moderna)","included",2,"final","14+","hospitalization","severe","USA","hospitalized adults","general pop",35.9,21.7,47.4,NA,"omicron","~55 weeks",NA,NA,"USA","USA",230,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","12/04/2022","severe","2022 (Jan-Jun)","Moderna mRNA-1273","mRNA","omicron","yes",NA,385,1,14,385,"yes",NA,0,35.9,21.7,47.4,0.641,0.526,0.783,-0.444725822061467,0.10148762327885
"116",201,201,244,"Sharma","Matched case-control","27Apr2022","mRNA-1273 (Moderna)","excluded",2,"final","14+","hospitalization","severe","USA","veterans","veterans",66.7,61.4,71.6,NA,"omicron","~42 weeks",NA,NA,"USA","USA",244,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","27/04/2022","severe","2022 (Jan-Jun)","Moderna mRNA-1273","mRNA","omicron","yes",NA,294,1,14,294,"yes",NA,0,66.7,61.4,71.6,0.333,0.284,0.386,-1.09961278900169,0.0782814110468431
"117",202,202,272,"Adams","Prospective test-negative case control","11Oct2022","mRNA-1273 (Moderna)","included",2,"final","14+","hospitalization","severe","USA",">= 18 years","general pop",41,25,54,"omicron BA.1, BA.2, BA.5","omicron BA.1, BA.2, BA.5","~72 weeks",NA,NA,"USA","USA",272,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","11/10/2022","severe","2022 (Jul-Dec)","Moderna mRNA-1273","mRNA","omicron","yes",NA,504,1,14,504,"yes",NA,0,41,25,54,0.59,0.46,0.75,-0.527632742082372,0.124705795165106
"118",203,203,299,"Risk","Retrospective cohort","16Aug2022","mRNA-1273 (Moderna)","included",2,"final","14+","hospitalization","severe","USA",">= 18 years","general pop",79,63,88,NA,"omicron","~56 weeks",NA,NA,"USA","USA",299,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","16/08/2022","severe","2022 (Jul-Dec)","Moderna mRNA-1273","mRNA","omicron","yes",NA,392,1,14,392,"yes",NA,0,79,63,88,0.21,0.12,0.37,-1.56064774826467,0.287247771136792
