,study ID,first author,study design,publication date,primary series vaccine,historyofCOVID,dose_number,dose,timing_of_dose_days,outcome_detail,outcome_category,country,population_detail,population_category,VE,LCL,UCL,variant_sequenced,variant_context,max duration follow-up,dose interval,notes,country_clean,iso3c,Study_id_f,Country.Code,GNI_per_c_WB,year_GNI,Economy,Region,Income group,q_GNI_per_c_WB,continent,owid_vac_intro,owid_vac_F40,owid_vac_F70,who_vac_intro,min_vac_intro,diff_owid_who_intro,diff_min_vac_intro_8Dec2020,diff_intro_F40,diff_intro_F70,diff_min_vac_intro_8Dec2020_clean,V1_date_group,V1_group,V40_date_group,V40_group,V1_dummy,V40_dummy,V70_dummy,publication_date,outcome_final,semester,clean_vaccine,vac_type,variant_clean,include_population,inclusion_notes,max_follow_up_days,n_estimates,min_period_days,max_period_days,include,justification,sensitivity
91,114,Skowronski,Test-negative case-control,19-Apr-22,AZD1222 (AstraZeneca),excluded,2,final,168-195,Hospitalization,severe,Canada,>= 18 years,general pop,91,34,99,delta,delta,~38 weeks,NA,NA,Canada,CAN,114,CAN,46580,2019,Canada,North America,High income,4,North America,16/12/2020,09/07/2021,28/09/2021,14/12/2020,14/12/2020,2,6,207,288,6,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,19/04/2022,severe,2022 (Jan-Jun),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,266,3,168,195,no,nested period,0
92,146,Katikireddi,Retrospective cohort,20-Dec-21,AZD1222 (AstraZeneca),excluded,2,final,14-27,severe disease,severe,Scotland,>= 18 years,general pop,83.7,79.7,87,NA,delta,~20 weeks,NA,NA,UK,GBR,146,GBR,43240,2019,United Kingdom,Europe & Central Asia,High income,4,Europe,10/01/2021,04/06/2021,23/12/2021,21/12/2020,21/12/2020,20,13,165,367,13,before jan/2021,<30,Jun-Aug/2021,<180,yes,yes,yes,20/12/2021,severe,2021 (Jul-Dec),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,140,2,14,27,yes,NA,0
93,146,Katikireddi,Retrospective cohort,20-Dec-21,AZD1222 (AstraZeneca),excluded,2,final,140-153,severe disease,severe,Scotland,>= 18 years,general pop,53.6,48.4,58.3,NA,delta,~20 weeks,NA,NA,UK,GBR,146,GBR,43240,2019,United Kingdom,Europe & Central Asia,High income,4,Europe,10/01/2021,04/06/2021,23/12/2021,21/12/2020,21/12/2020,20,13,165,367,13,before jan/2021,<30,Jun-Aug/2021,<180,yes,yes,yes,20/12/2021,severe,2021 (Jul-Dec),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,140,2,140,153,no,sequential period,0
94,174,Lytras,Retrospective cohort,14-Jun-22,AZD1222 (AstraZeneca),included,2,final,14+,intubation,severe,Greece,15-59 years,15-59 years,97.8,95.3,99,NA,delta,~48 weeks,NA,NA,Greece,GRC,174,GRC,19690,2019,Greece,Europe & Central Asia,High income,3,Europe,29/12/2020,09/07/2021,24/01/2022,23/12/2020,23/12/2020,6,15,198,397,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,14/06/2022,severe,2022 (Jan-Jun),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,336,6,14,336,yes,NA,0
95,174,Lytras,Retrospective cohort,14-Jun-22,AZD1222 (AstraZeneca),included,2,final,6 months,intubation,severe,Greece,15-59 years,15-59 years,92.4,84,96.4,NA,delta,~48 weeks,NA,NA,Greece,GRC,174,GRC,19690,2019,Greece,Europe & Central Asia,High income,3,Europe,29/12/2020,09/07/2021,24/01/2022,23/12/2020,23/12/2020,6,15,198,397,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,14/06/2022,severe,2022 (Jan-Jun),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,336,6,180,336,no,nested period,0
96,174,Lytras,Retrospective cohort,14-Jun-22,AZD1222 (AstraZeneca),included,2,final,14+,intubation,severe,Greece,60-79 years,60-79 years,97.2,95.3,98.3,NA,delta,~48 weeks,NA,NA,Greece,GRC,174,GRC,19690,2019,Greece,Europe & Central Asia,High income,3,Europe,29/12/2020,09/07/2021,24/01/2022,23/12/2020,23/12/2020,6,15,198,397,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,14/06/2022,severe,2022 (Jan-Jun),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,336,6,14,336,yes,NA,1
97,174,Lytras,Retrospective cohort,14-Jun-22,AZD1222 (AstraZeneca),included,2,final,6 months,intubation,severe,Greece,60-79 years,60-79 years,90.3,87.4,92.5,NA,delta,~48 weeks,NA,NA,Greece,GRC,174,GRC,19690,2019,Greece,Europe & Central Asia,High income,3,Europe,29/12/2020,09/07/2021,24/01/2022,23/12/2020,23/12/2020,6,15,198,397,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,14/06/2022,severe,2022 (Jan-Jun),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,336,6,180,336,no,nested period,1
98,174,Lytras,Retrospective cohort,14-Jun-22,AZD1222 (AstraZeneca),included,2,final,14+,intubation,severe,Greece,>= 80 years,>= 80 years,97.8,91.7,99.4,NA,delta,~48 weeks,NA,NA,Greece,GRC,174,GRC,19690,2019,Greece,Europe & Central Asia,High income,3,Europe,29/12/2020,09/07/2021,24/01/2022,23/12/2020,23/12/2020,6,15,198,397,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,14/06/2022,severe,2022 (Jan-Jun),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,336,6,14,336,yes,NA,1
99,174,Lytras,Retrospective cohort,14-Jun-22,AZD1222 (AstraZeneca),included,2,final,6 months,intubation,severe,Greece,>= 80 years,>= 80 years,92.4,72.7,97.9,NA,delta,~48 weeks,NA,NA,Greece,GRC,174,GRC,19690,2019,Greece,Europe & Central Asia,High income,3,Europe,29/12/2020,09/07/2021,24/01/2022,23/12/2020,23/12/2020,6,15,198,397,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,14/06/2022,severe,2022 (Jan-Jun),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,336,6,180,336,no,nested period,1
100,194,Smid,Retrospective cohort,15-Oct-22,AZD1222 (AstraZeneca),included,2,final,75-135,hospitalization,severe,Czech Republic,all ages,general pop,80,62,89,NA,delta,~54 weeks,NA,NA,Czech Republic,CZE,194,CZE,22100,2019,Czechia,Europe & Central Asia,High income,3,Europe,27/12/2020,16/07/2021,NA,23/12/2020,23/12/2020,4,15,205,NA,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,no,15/10/2022,severe,2022 (Jul-Dec),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,378,2,75,135,yes,NA,0
101,194,Smid,Retrospective cohort,15-Oct-22,AZD1222 (AstraZeneca),included,2,final,135+,hospitalization,severe,Czech Republic,all ages,general pop,68,64,71,NA,delta,~54 weeks,NA,NA,Czech Republic,CZE,194,CZE,22100,2019,Czechia,Europe & Central Asia,High income,3,Europe,27/12/2020,16/07/2021,NA,23/12/2020,23/12/2020,4,15,205,NA,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,no,15/10/2022,severe,2022 (Jul-Dec),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,378,2,135,378,no,sequential period,0
102,203,Baum,Retrospective cohort,05-Nov-22,AZD1222 (AstraZeneca),excluded,2,final,91-180,hospitalization,severe,Finland,>= 70 years,>= 70 years,79,67,87,NA,delta,~48.5 weeks,NA,NA,Finland,FIN,203,FIN,49950,2019,Finland,Europe & Central Asia,High income,4,Europe,17/01/2021,15/08/2021,31/10/2021,23/12/2020,23/12/2020,25,15,235,312,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,05/11/2022,severe,2022 (Jul-Dec),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,339.5,2,91,180,yes,NA,1
103,203,Baum,Retrospective cohort,05-Nov-22,AZD1222 (AstraZeneca),excluded,2,final,181+,hospitalization,severe,Finland,>= 70 years,>= 70 years,23,-76,67,NA,delta,~48.5 weeks,NA,NA,Finland,FIN,203,FIN,49950,2019,Finland,Europe & Central Asia,High income,4,Europe,17/01/2021,15/08/2021,31/10/2021,23/12/2020,23/12/2020,25,15,235,312,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,05/11/2022,severe,2022 (Jul-Dec),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,339.5,2,181,339.5,no,sequential period,1
104,235,Voko,Retrospective cohort,22-Jul-22,AZD1222 (AstraZeneca),included,2,final,14-120,hospitalization,severe,Hungary,18-64 years,18-64 years,76.2,70.6,80.7,NA,delta,~47 weeks,NA,NA,Hungary,HUN,235,HUN,16570,2019,Hungary,Europe & Central Asia,High income,3,Europe,28/12/2020,05/06/2021,NA,23/12/2020,23/12/2020,5,15,164,NA,15,before jan/2021,<30,Jun-Aug/2021,<180,yes,yes,no,22/07/2022,severe,2022 (Jul-Dec),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,329,2,14,120,yes,NA,0
105,235,Voko,Retrospective cohort,22-Jul-22,AZD1222 (AstraZeneca),included,2,final,240+,hospitalization,severe,Hungary,18-64 years,18-64 years,48.8,38.2,57.6,NA,delta,~47 weeks,NA,NA,Hungary,HUN,235,HUN,16570,2019,Hungary,Europe & Central Asia,High income,3,Europe,28/12/2020,05/06/2021,NA,23/12/2020,23/12/2020,5,15,164,NA,15,before jan/2021,<30,Jun-Aug/2021,<180,yes,yes,no,22/07/2022,severe,2022 (Jul-Dec),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,329,2,240,329,no,sequential period,0
106,247,Kirsebom,Test-negative case-control,12-Dec-22,AZD1222 (AstraZeneca),included,2,final,175+,hospitalization,severe,UK,>= 65 years,>= 65 years,73.4,70.4,76.2,delta,delta,~44.5 weeks,NA,NA,UK,GBR,247,GBR,43240,2019,United Kingdom,Europe & Central Asia,High income,4,Europe,10/01/2021,04/06/2021,23/12/2021,21/12/2020,21/12/2020,20,13,165,367,13,before jan/2021,<30,Jun-Aug/2021,<180,yes,yes,yes,12/12/2022,severe,2022 (Jul-Dec),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,311.5,1,175,311.5,yes,NA,1
107,259,Tsundue,Prospective cohort,24-May-22,AZD1222 (Covishield),included,2,final,14+,"shortness of breath/use of supplemental oxygen, hospitalization or death",severe,India,residents of congregate living facilities,general pop,99,90,99.8,NA,delta,13 weeks,NA,NA,India,IND,259,IND,2070,2019,India,South Asia,Lower middle income,1,Asia,16/01/2021,24/12/2021,NA,16/01/2021,16/01/2021,0,39,342,NA,39,Jan-21,30-59,Dec/2021 +,270-359,yes,yes,no,24/05/2022,severe,2022 (Jan-Jun),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,91,1,14,91,yes,NA,0
108,310,Penayo,Test-negative case-control,01-Jun-22,AZD1222 (AstraZeneca),included,2,final,14+,hospitalization with SARI,severe,Paraguay,>=18 years,general pop,83,66.3,91.5,NA,delta,~33 weeks,NA,NA,Paraguay,PRY,310,PRY,5950,2019,Paraguay,Latin America & Caribbean,Upper middle income,2,South America,23/02/2021,10/12/2021,NA,22/02/2021,22/02/2021,1,76,291,NA,76,Feb-21,60-89,Dec/2021 +,270-359,yes,yes,no,01/06/2022,severe,2022 (Jan-Jun),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,231,1,14,231,yes,NA,0
109,311,Monge,Case cohort,02-Sep-22,AZD1222 (AstraZeneca),included,2,final,14+,hospitalization,severe,Spain,50-59 years,50-59 years,96,93,98,NA,delta,~21 weeks,NA,NA,Spain,ESP,311,ESP,30370,2019,Spain,Europe & Central Asia,High income,4,Europe,04/01/2021,04/07/2021,31/08/2021,30/12/2020,30/12/2020,5,22,186,244,22,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,02/09/2022,severe,2022 (Jul-Dec),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,147,1,14,147,yes,NA,0
110,345,Clemens,Test-negative case-control,13-Oct-22,AZD1222 (AstraZeneca),included,2,final,14+,severe disease,severe,Brazil,18-60 years,18-60 years,100,44.3,100,NA,delta,~12.5 weeks,NA,NA,Brazil,BRA,345,BRA,9410,2019,Brazil,Latin America & Caribbean,Upper middle income,3,South America,19/01/2021,24/09/2021,05/02/2022,17/01/2021,17/01/2021,2,40,250,384,40,Jan-21,30-59,Sep-Nov/2021,180-269,yes,yes,yes,13/10/2022,severe,2022 (Jul-Dec),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,87.5,1,14,87.5,yes,NA,0
111,366,Battacharya,Test-negative case-control,06-Jan-23,AZD1222 (Covishield),included,2,final,7+,hospitalization with symptoms of pulmonary disease,severe,India,>=18 years,general pop,79,53.1,81,NA,delta,~22 weeks,NA,NA,India,IND,366,IND,2070,2019,India,South Asia,Lower middle income,1,Asia,16/01/2021,24/12/2021,NA,16/01/2021,16/01/2021,0,39,342,NA,39,Jan-21,30-59,Dec/2021 +,270-359,yes,yes,no,06/01/2023,severe,2023 (Jan-Jun),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,154,1,7,154,yes,NA,0
112,418,Paternina-Caicedo,Test-negative case-control,09-Sep-23,AZD1222 (AstraZeneca),excluded,2,final,14+,hospitalization,severe,Colombia,>=5 years,general pop,71,27,89,NA,delta,~32 weeks,NA,NA,Colombia,COL,418,COL,6630,2019,Colombia,Latin America & Caribbean,Upper middle income,3,South America,18/02/2021,26/10/2021,29/07/2022,17/02/2021,17/02/2021,1,71,251,527,71,Feb-21,60-89,Sep-Nov/2021,180-269,yes,yes,no,09/09/2023,severe,2023 (Jul-Dec),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,224,1,14,224,yes,NA,0
113,420,Irala,Test-negative case-control,15-Sep-23,AZD1222 (AstraZeneca),included,2,final,14+,hospitalization due to SARI,severe,Paraguay,>=5 years,general pop,83.2,67.8,91.9,NA,delta,~37 weeks,NA,NA,Paraguay,PRY,420,PRY,5950,2019,Paraguay,Latin America & Caribbean,Upper middle income,2,South America,23/02/2021,10/12/2021,NA,22/02/2021,22/02/2021,1,76,291,NA,76,Feb-21,60-89,Dec/2021 +,270-359,yes,yes,no,15/09/2023,severe,2023 (Jul-Dec),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,259,1,14,259,yes,NA,0
114,426,Hernandez-Avila,Test-negative case-control,19-Oct-23,AZD1222 (AstraZeneca),excluded,2,final,<91,hospitalization with ARI,severe,Mexico,>=65 years,>=65 years,81.1,78.4,83.5,NA,delta,~33 weeks,NA,NA,Mexico,MEX,426,MEX,9860,2019,Mexico,Latin America & Caribbean,Upper middle income,3,North America,27/12/2020,18/10/2021,NA,24/12/2020,24/12/2020,3,16,298,NA,16,before jan/2021,<30,Sep-Nov/2021,270-359,yes,yes,no,19/10/2023,severe,2023 (Jul-Dec),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,231,4,NA,91,yes,NA,1
115,426,Hernandez-Avila,Test-negative case-control,19-Oct-23,AZD1222 (AstraZeneca),excluded,2,final,141+,hospitalization with ARI,severe,Mexico,>=65 years,>=65 years,70.5,64.2,75.8,NA,delta,~33 weeks,NA,NA,Mexico,MEX,426,MEX,9860,2019,Mexico,Latin America & Caribbean,Upper middle income,3,North America,27/12/2020,18/10/2021,NA,24/12/2020,24/12/2020,3,16,298,NA,16,before jan/2021,<30,Sep-Nov/2021,270-359,yes,yes,no,19/10/2023,severe,2023 (Jul-Dec),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,231,4,141,231,no,sequential period,1
116,426,Hernandez-Avila,Test-negative case-control,19-Oct-23,AZD1222 (AstraZeneca),excluded,2,final,<91,severe disease,severe,Mexico,>=65 years,>=65 years,85.3,82.8,87.5,NA,delta,~33 weeks,NA,NA,Mexico,MEX,426,MEX,9860,2019,Mexico,Latin America & Caribbean,Upper middle income,3,North America,27/12/2020,18/10/2021,NA,24/12/2020,24/12/2020,3,16,298,NA,16,before jan/2021,<30,Sep-Nov/2021,270-359,yes,yes,no,19/10/2023,severe,2023 (Jul-Dec),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,231,4,NA,91,no,duplicated endpoint (use hospitalisation),1
117,426,Hernandez-Avila,Test-negative case-control,19-Oct-23,AZD1222 (AstraZeneca),excluded,2,final,141+,severe disease,severe,Mexico,>=65 years,>=65 years,73.5,66.5,79.1,NA,delta,~33 weeks,NA,NA,Mexico,MEX,426,MEX,9860,2019,Mexico,Latin America & Caribbean,Upper middle income,3,North America,27/12/2020,18/10/2021,NA,24/12/2020,24/12/2020,3,16,298,NA,16,before jan/2021,<30,Sep-Nov/2021,270-359,yes,yes,no,19/10/2023,severe,2023 (Jul-Dec),Oxford/AstraZeneca ChAdOx1-S,Vectored,delta,yes,NA,231,4,141,231,no,duplicated endpoint (use hospitalisation),1
118,151,Collie,Test-negative case-control,29-Dec-21,BNT162b2 (Pfizer BioNTech),included,2,final,14+,Hospitalization,severe,South Africa,>= 18 years,general pop,70,62,76,NA,omicron,~24 weeks,NA,NA,South Africa,ZAF,151,ZAF,6570,2019,South Africa,Sub-Saharan Africa,Upper middle income,3,Africa,19/02/2021,NA,NA,17/02/2021,17/02/2021,2,71,NA,NA,71,Feb-21,60-89,not reached,not reached,yes,no,no,29/12/2021,severe,2021 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,168,1,14,168,yes,NA,0
119,165,Tartof,Test-negative case-control,22-Apr-22,BNT162b2 (Pfizer BioNTech),excluded,2,final,7+,hospitalization,severe,USA,hospital admissions,general pop,62,53,69,omicron,omicron,~47 weeks,NA,NA,USA,USA,165,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,22/04/2022,severe,2022 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,329,3,7,329,yes,NA,0
120,165,Tartof,Test-negative case-control,22-Apr-22,BNT162b2 (Pfizer BioNTech),excluded,2,final,7 to <3 months,hospitalization,severe,USA,hospital admissions,general pop,68,48,80,omicron,omicron,~47 weeks,NA,NA,USA,USA,165,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,22/04/2022,severe,2022 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,329,3,7,90,no,nested period,0
121,165,Tartof,Test-negative case-control,22-Apr-22,BNT162b2 (Pfizer BioNTech),excluded,2,final,>=9 months,Hospitalization,severe,USA,hospital admissions,general pop,41,21,55,omicron,omicron,~47 weeks,NA,NA,USA,USA,165,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,22/04/2022,severe,2022 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,329,3,270,329,no,nested period,0
122,179,Chemaitelly,Test-negative case-control,02-Jun-22,BNT162b2 (Pfizer BioNTech),included,2,final,1-6 months,"severe, critical or fatal disease",severe,Qatar,>= 18 years,general pop,70.4,45,85,omicron,omicron,~58 weeks,NA,NA,Qatar,QAT,179,QAT,65700,2019,Qatar,Middle East & North Africa,High income,4,Asia,28/01/2021,31/05/2021,16/08/2021,NA,28/01/2021,NA,51,123,200,51,Jan-21,30-59,before Jun/2021,<180,yes,yes,yes,02/06/2022,severe,2022 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,406,2,30,180,yes,NA,0
123,179,Chemaitelly,Test-negative case-control,02-Jun-22,BNT162b2 (Pfizer BioNTech),included,2,final,>=7 months,"severe, critical or fatal disease",severe,Qatar,>= 18 years,general pop,77.5,67.8,84.3,omicron,omicron,~58 weeks,NA,NA,Qatar,QAT,179,QAT,65700,2019,Qatar,Middle East & North Africa,High income,4,Asia,28/01/2021,31/05/2021,16/08/2021,NA,28/01/2021,NA,51,123,200,51,Jan-21,30-59,before Jun/2021,<180,yes,yes,yes,02/06/2022,severe,2022 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,406,2,210,406,no,sequential period,0
124,194,Smid,Retrospective cohort,15-Oct-22,BNT162b2 (Pfizer BioNTech),included,2,final,14-74,hospitalization,severe,Czech Republic,all ages,general pop,46,28,60,NA,omicron,~54 weeks,NA,NA,Czech Republic,CZE,194,CZE,22100,2019,Czechia,Europe & Central Asia,High income,3,Europe,27/12/2020,16/07/2021,NA,23/12/2020,23/12/2020,4,15,205,NA,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,no,15/10/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,378,2,14,74,yes,NA,0
125,194,Smid,Retrospective cohort,15-Oct-22,BNT162b2 (Pfizer BioNTech),included,2,final,135+,hospitalization,severe,Czech Republic,all ages,general pop,34,24,42,NA,omicron,~54 weeks,NA,NA,Czech Republic,CZE,194,CZE,22100,2019,Czechia,Europe & Central Asia,High income,3,Europe,27/12/2020,16/07/2021,NA,23/12/2020,23/12/2020,4,15,205,NA,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,no,15/10/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,378,2,135,378,no,sequential period,0
126,203,Baum,Retrospective cohort,05-Nov-22,BNT162b2 (Pfizer BioNTech),excluded,2,final,14-90,hospitalization,severe,Finland,>= 70 years,>= 70 years,91,83,95,NA,omicron,~56 weeks,NA,NA,Finland,FIN,203,FIN,49950,2019,Finland,Europe & Central Asia,High income,4,Europe,17/01/2021,15/08/2021,31/10/2021,23/12/2020,23/12/2020,25,15,235,312,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,05/11/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,392,2,14,90,yes,NA,1
127,203,Baum,Retrospective cohort,05-Nov-22,BNT162b2 (Pfizer BioNTech),excluded,2,final,181+,hospitalization,severe,Finland,>= 70 years,>= 70 years,58,48,66,NA,omicron,~56 weeks,NA,NA,Finland,FIN,203,FIN,49950,2019,Finland,Europe & Central Asia,High income,4,Europe,17/01/2021,15/08/2021,31/10/2021,23/12/2020,23/12/2020,25,15,235,312,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,05/11/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,392,2,181,392,no,sequential period,1
128,207,Altarawneh,Test-negative case-control,15-Jun-22,BNT162b2 (Pfizer BioNTech),excluded,2,final,14+,hospitalization or death,severe,Qatar,>= 18 years,general pop,96.8,71.1,99.6,omicron BA.1,omicron BA.1,44 weeks,NA,NA,Qatar,QAT,207,QAT,65700,2019,Qatar,Middle East & North Africa,High income,4,Asia,28/01/2021,31/05/2021,16/08/2021,NA,28/01/2021,NA,51,123,200,51,Jan-21,30-59,before Jun/2021,<180,yes,yes,yes,15/06/2022,severe,2022 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,308,3,14,308,no,nested endpoint,0
129,207,Altarawneh,Test-negative case-control,15-Jun-22,BNT162b2 (Pfizer BioNTech),excluded,2,final,14+,hospitalization or death,severe,Qatar,>= 18 years,general pop,76.8,58,87.1,omicron BA.2,omicron BA.2,44 weeks,NA,NA,Qatar,QAT,207,QAT,65700,2019,Qatar,Middle East & North Africa,High income,4,Asia,28/01/2021,31/05/2021,16/08/2021,NA,28/01/2021,NA,51,123,200,51,Jan-21,30-59,before Jun/2021,<180,yes,yes,yes,15/06/2022,severe,2022 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,308,3,14,308,no,nested endpoint,0
130,207,Altarawneh,Test-negative case-control,15-Jun-22,BNT162b2 (Pfizer BioNTech),excluded,2,final,14+,hospitalization or death,severe,Qatar,>= 18 years,general pop,73.5,60.5,82.2,omicron,omicron,44 weeks,NA,NA,Qatar,QAT,207,QAT,65700,2019,Qatar,Middle East & North Africa,High income,4,Asia,28/01/2021,31/05/2021,16/08/2021,NA,28/01/2021,NA,51,123,200,51,Jan-21,30-59,before Jun/2021,<180,yes,yes,yes,15/06/2022,severe,2022 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,308,3,14,308,yes,NA,0
131,210,Stowe,Test-negative case-control,30-Sep-22,BNT162b2 (Pfizer BioNTech),included,2,final,14-174,hospitalization with ARI,severe,UK,18-64 years,18-64 years,73.8,62.5,81.7,NA,omicron,~43 weeks,NA,NA,UK,GBR,210,GBR,43240,2019,United Kingdom,Europe & Central Asia,High income,4,Europe,10/01/2021,04/06/2021,23/12/2021,21/12/2020,21/12/2020,20,13,165,367,13,before jan/2021,<30,Jun-Aug/2021,<180,yes,yes,yes,30/09/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,301,4,14,174,yes,NA,0
132,210,Stowe,Test-negative case-control,30-Sep-22,BNT162b2 (Pfizer BioNTech),included,2,final,175+,hospitalization with ARI,severe,UK,18-64 years,18-64 years,65.1,51.3,74.9,NA,omicron,~43 weeks,NA,NA,UK,GBR,210,GBR,43240,2019,United Kingdom,Europe & Central Asia,High income,4,Europe,10/01/2021,04/06/2021,23/12/2021,21/12/2020,21/12/2020,20,13,165,367,13,before jan/2021,<30,Jun-Aug/2021,<180,yes,yes,yes,30/09/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,301,4,175,301,no,sequential period,0
133,210,Stowe,Test-negative case-control,30-Sep-22,BNT162b2 (Pfizer BioNTech),included,2,final,14-174,hospitalization with ARI,severe,UK,>= 65 years,>= 65 years,87.6,79.4,92.5,NA,omicron,~43 weeks,NA,NA,UK,GBR,210,GBR,43240,2019,United Kingdom,Europe & Central Asia,High income,4,Europe,10/01/2021,04/06/2021,23/12/2021,21/12/2020,21/12/2020,20,13,165,367,13,before jan/2021,<30,Jun-Aug/2021,<180,yes,yes,yes,30/09/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,301,4,14,174,yes,NA,1
134,210,Stowe,Test-negative case-control,30-Sep-22,BNT162b2 (Pfizer BioNTech),included,2,final,175+,hospitalization with ARI,severe,UK,>= 65 years,>= 65 years,65.4,56.6,72.5,NA,omicron,~43 weeks,NA,NA,UK,GBR,210,GBR,43240,2019,United Kingdom,Europe & Central Asia,High income,4,Europe,10/01/2021,04/06/2021,23/12/2021,21/12/2020,21/12/2020,20,13,165,367,13,before jan/2021,<30,Jun-Aug/2021,<180,yes,yes,yes,30/09/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,301,4,175,301,no,sequential period,1
